epoch: 1  D_loss: 0.103011  G_loss: 36.861427  loss_pixel: 0.3575  best_loss_pixel: 0.3720  
epoch: 2  D_loss: 0.137920  G_loss: 35.832306  loss_pixel: 0.3472  best_loss_pixel: 0.3634  
epoch: 3  D_loss: 0.032677  G_loss: 34.848732  loss_pixel: 0.3376  best_loss_pixel: 0.3496  
epoch: 4  D_loss: 0.037170  G_loss: 34.407097  loss_pixel: 0.3339  best_loss_pixel: 0.3314  
epoch: 5  D_loss: 0.097372  G_loss: 32.964867  loss_pixel: 0.3195  best_loss_pixel: 0.3314  
epoch: 6  D_loss: 0.015639  G_loss: 32.436646  loss_pixel: 0.3154  best_loss_pixel: 0.3249  
epoch: 7  D_loss: 0.011533  G_loss: 31.761122  loss_pixel: 0.3084  best_loss_pixel: 0.3112  
epoch: 8  D_loss: 0.013294  G_loss: 30.826578  loss_pixel: 0.2986  best_loss_pixel: 0.3112  
epoch: 9  D_loss: 0.011041  G_loss: 30.265636  loss_pixel: 0.2920  best_loss_pixel: 0.2990  
epoch: 10  D_loss: 0.007189  G_loss: 29.370707  loss_pixel: 0.2833  best_loss_pixel: 0.2866  
epoch: 11  D_loss: 0.018142  G_loss: 29.177023  loss_pixel: 0.2820  best_loss_pixel: 0.2849  
epoch: 12  D_loss: 0.012201  G_loss: 27.660299  loss_pixel: 0.2676  best_loss_pixel: 0.2820  
epoch: 13  D_loss: 0.006457  G_loss: 27.350058  loss_pixel: 0.2641  best_loss_pixel: 0.2738  
epoch: 14  D_loss: 0.013386  G_loss: 26.379585  loss_pixel: 0.2542  best_loss_pixel: 0.2662  
epoch: 15  D_loss: 0.015979  G_loss: 26.457483  loss_pixel: 0.2548  best_loss_pixel: 0.2598  
epoch: 16  D_loss: 0.036090  G_loss: 25.860008  loss_pixel: 0.2480  best_loss_pixel: 0.2492  
epoch: 17  D_loss: 0.016861  G_loss: 24.671627  loss_pixel: 0.2370  best_loss_pixel: 0.2480  
epoch: 18  D_loss: 0.059737  G_loss: 24.309368  loss_pixel: 0.2318  best_loss_pixel: 0.2323  
epoch: 19  D_loss: 0.018422  G_loss: 23.227350  loss_pixel: 0.2216  best_loss_pixel: 0.2313  
epoch: 20  D_loss: 0.004887  G_loss: 23.033205  loss_pixel: 0.2205  best_loss_pixel: 0.2231  
epoch: 21  D_loss: 0.008033  G_loss: 22.716009  loss_pixel: 0.2170  best_loss_pixel: 0.2177  
epoch: 22  D_loss: 0.009431  G_loss: 22.525270  loss_pixel: 0.2151  best_loss_pixel: 0.2068  
epoch: 23  D_loss: 0.262451  G_loss: 22.926744  loss_pixel: 0.2257  best_loss_pixel: 0.2068  
epoch: 24  D_loss: 0.027108  G_loss: 21.604378  loss_pixel: 0.2069  best_loss_pixel: 0.2068  
epoch: 25  D_loss: 0.010953  G_loss: 21.697348  loss_pixel: 0.2069  best_loss_pixel: 0.1991  
epoch: 26  D_loss: 0.004524  G_loss: 20.510757  loss_pixel: 0.1949  best_loss_pixel: 0.1987  
epoch: 27  D_loss: 0.006900  G_loss: 19.667738  loss_pixel: 0.1880  best_loss_pixel: 0.1887  
