epoch: 1  D_loss: 0.047543  G_loss: 64.947136  loss_pixel: 0.6402  best_loss_pixel: 0.6423  
epoch: 2  D_loss: 0.031397  G_loss: 62.889290  loss_pixel: 0.6184  best_loss_pixel: 0.6251  
epoch: 3  D_loss: 0.010774  G_loss: 61.653439  loss_pixel: 0.6067  best_loss_pixel: 0.6021  
epoch: 4  D_loss: 0.015428  G_loss: 58.671638  loss_pixel: 0.5762  best_loss_pixel: 0.5948  
epoch: 5  D_loss: 0.007599  G_loss: 56.114601  loss_pixel: 0.5512  best_loss_pixel: 0.5748  
epoch: 6  D_loss: 0.036651  G_loss: 54.823524  loss_pixel: 0.5382  best_loss_pixel: 0.5510  
epoch: 7  D_loss: 0.007120  G_loss: 52.008408  loss_pixel: 0.5108  best_loss_pixel: 0.5471  
epoch: 8  D_loss: 0.003026  G_loss: 51.491405  loss_pixel: 0.5044  best_loss_pixel: 0.5186  
epoch: 9  D_loss: 0.017226  G_loss: 49.957600  loss_pixel: 0.4897  best_loss_pixel: 0.5063  
epoch: 10  D_loss: 0.006522  G_loss: 48.054359  loss_pixel: 0.4708  best_loss_pixel: 0.4801  
epoch: 11  D_loss: 0.004918  G_loss: 46.136223  loss_pixel: 0.4508  best_loss_pixel: 0.4649  
epoch: 12  D_loss: 0.015133  G_loss: 44.813988  loss_pixel: 0.4381  best_loss_pixel: 0.4576  
epoch: 13  D_loss: 0.006673  G_loss: 44.497032  loss_pixel: 0.4350  best_loss_pixel: 0.4428  
epoch: 14  D_loss: 0.004340  G_loss: 42.463058  loss_pixel: 0.4146  best_loss_pixel: 0.4300  
epoch: 15  D_loss: 0.002477  G_loss: 40.714725  loss_pixel: 0.3974  best_loss_pixel: 0.4061  
epoch: 16  D_loss: 0.003144  G_loss: 39.225567  loss_pixel: 0.3830  best_loss_pixel: 0.4061  
epoch: 17  D_loss: 0.004221  G_loss: 37.026047  loss_pixel: 0.3604  best_loss_pixel: 0.3825  
epoch: 18  D_loss: 0.003192  G_loss: 35.637779  loss_pixel: 0.3465  best_loss_pixel: 0.3717  
epoch: 19  D_loss: 0.004149  G_loss: 34.968056  loss_pixel: 0.3400  best_loss_pixel: 0.3506  
epoch: 20  D_loss: 0.003881  G_loss: 35.682529  loss_pixel: 0.3462  best_loss_pixel: 0.3506  
epoch: 21  D_loss: 0.002709  G_loss: 32.031258  loss_pixel: 0.3097  best_loss_pixel: 0.3311  
epoch: 22  D_loss: 0.004505  G_loss: 30.707018  loss_pixel: 0.2975  best_loss_pixel: 0.3177  
epoch: 23  D_loss: 0.005190  G_loss: 30.475031  loss_pixel: 0.2940  best_loss_pixel: 0.2983  
epoch: 24  D_loss: 0.002249  G_loss: 28.388641  loss_pixel: 0.2737  best_loss_pixel: 0.2962  
epoch: 25  D_loss: 0.010888  G_loss: 28.160219  loss_pixel: 0.2713  best_loss_pixel: 0.2839  
epoch: 26  D_loss: 0.004004  G_loss: 27.866470  loss_pixel: 0.2691  best_loss_pixel: 0.2760  
epoch: 27  D_loss: 0.001948  G_loss: 25.826097  loss_pixel: 0.2480  best_loss_pixel: 0.2646  
epoch: 28  D_loss: 0.000994  G_loss: 24.774982  loss_pixel: 0.2378  best_loss_pixel: 0.2416  
epoch: 29  D_loss: 0.005421  G_loss: 24.724613  loss_pixel: 0.2367  best_loss_pixel: 0.2416  
epoch: 30  D_loss: 0.001061  G_loss: 23.560640  loss_pixel: 0.2255  best_loss_pixel: 0.2327  
epoch: 31  D_loss: 0.004420  G_loss: 22.429438  loss_pixel: 0.2134  best_loss_pixel: 0.2250  
epoch: 32  D_loss: 0.007234  G_loss: 21.429197  loss_pixel: 0.2041  best_loss_pixel: 0.2193  
epoch: 33  D_loss: 0.001984  G_loss: 21.349493  loss_pixel: 0.2037  best_loss_pixel: 0.2006  
epoch: 34  D_loss: 0.002968  G_loss: 20.199009  loss_pixel: 0.1923  best_loss_pixel: 0.2006  
epoch: 35  D_loss: 0.001187  G_loss: 19.096174  loss_pixel: 0.1810  best_loss_pixel: 0.1852  
epoch: 36  D_loss: 0.002390  G_loss: 18.222534  loss_pixel: 0.1722  best_loss_pixel: 0.1852  
epoch: 37  D_loss: 0.003329  G_loss: 17.997959  loss_pixel: 0.1698  best_loss_pixel: 0.1789  
epoch: 38  D_loss: 0.003157  G_loss: 17.282413  loss_pixel: 0.1624  best_loss_pixel: 0.1568  
epoch: 39  D_loss: 0.009554  G_loss: 16.460955  loss_pixel: 0.1540  best_loss_pixel: 0.1568  
epoch: 40  D_loss: 0.003761  G_loss: 14.761978  loss_pixel: 0.1370  best_loss_pixel: 0.1526  
epoch: 41  D_loss: 0.055755  G_loss: 14.626392  loss_pixel: 0.1366  best_loss_pixel: 0.1438  
epoch: 42  D_loss: 0.001024  G_loss: 13.645372  loss_pixel: 0.1264  best_loss_pixel: 0.1355  
epoch: 43  D_loss: 0.002296  G_loss: 13.205446  loss_pixel: 0.1219  best_loss_pixel: 0.1346  
epoch: 44  D_loss: 0.008241  G_loss: 11.629282  loss_pixel: 0.1062  best_loss_pixel: 0.1267  
epoch: 45  D_loss: 0.003341  G_loss: 11.807000  loss_pixel: 0.1081  best_loss_pixel: 0.1209  
epoch: 46  D_loss: 0.002157  G_loss: 10.959110  loss_pixel: 0.0998  best_loss_pixel: 0.1156  
