epoch: 1  D_loss: 0.113244  G_loss: 65.171692  loss_pixel: 0.6404  best_loss_pixel: 0.6508  
epoch: 2  D_loss: 0.034367  G_loss: 64.635231  loss_pixel: 0.6360  best_loss_pixel: 0.6332  
epoch: 3  D_loss: 0.022208  G_loss: 64.075691  loss_pixel: 0.6299  best_loss_pixel: 0.6046  
epoch: 4  D_loss: 0.020745  G_loss: 61.468594  loss_pixel: 0.6056  best_loss_pixel: 0.6046  
epoch: 5  D_loss: 0.035467  G_loss: 61.470882  loss_pixel: 0.6044  best_loss_pixel: 0.5969  
epoch: 6  D_loss: 0.028728  G_loss: 60.583313  loss_pixel: 0.5965  best_loss_pixel: 0.5969  
epoch: 7  D_loss: 0.038243  G_loss: 59.544384  loss_pixel: 0.5852  best_loss_pixel: 0.5969  
epoch: 8  D_loss: 0.040049  G_loss: 58.168678  loss_pixel: 0.5721  best_loss_pixel: 0.5788  
epoch: 9  D_loss: 0.042865  G_loss: 57.423801  loss_pixel: 0.5639  best_loss_pixel: 0.5713  
epoch: 10  D_loss: 0.006500  G_loss: 56.491653  loss_pixel: 0.5542  best_loss_pixel: 0.5675  
epoch: 11  D_loss: 0.005297  G_loss: 55.498833  loss_pixel: 0.5453  best_loss_pixel: 0.5612  
epoch: 12  D_loss: 0.006498  G_loss: 55.466164  loss_pixel: 0.5453  best_loss_pixel: 0.5359  
epoch: 13  D_loss: 0.018179  G_loss: 53.866455  loss_pixel: 0.5295  best_loss_pixel: 0.5237  
epoch: 14  D_loss: 0.002966  G_loss: 53.464531  loss_pixel: 0.5245  best_loss_pixel: 0.5211  
epoch: 15  D_loss: 0.004812  G_loss: 51.727619  loss_pixel: 0.5069  best_loss_pixel: 0.5133  
epoch: 16  D_loss: 0.005237  G_loss: 50.953808  loss_pixel: 0.4993  best_loss_pixel: 0.5035  
epoch: 17  D_loss: 0.002642  G_loss: 51.003948  loss_pixel: 0.5004  best_loss_pixel: 0.4862  
epoch: 18  D_loss: 0.002728  G_loss: 49.569504  loss_pixel: 0.4853  best_loss_pixel: 0.4862  
epoch: 19  D_loss: 0.022050  G_loss: 48.349197  loss_pixel: 0.4733  best_loss_pixel: 0.4862  
epoch: 20  D_loss: 0.057318  G_loss: 48.109615  loss_pixel: 0.4708  best_loss_pixel: 0.4774  
epoch: 21  D_loss: 0.005871  G_loss: 47.819599  loss_pixel: 0.4685  best_loss_pixel: 0.4693  
epoch: 22  D_loss: 0.018601  G_loss: 46.318146  loss_pixel: 0.4527  best_loss_pixel: 0.4613  
epoch: 23  D_loss: 0.004744  G_loss: 45.714725  loss_pixel: 0.4469  best_loss_pixel: 0.4324  
epoch: 24  D_loss: 0.005731  G_loss: 44.946625  loss_pixel: 0.4396  best_loss_pixel: 0.4324  
epoch: 25  D_loss: 0.001782  G_loss: 44.622429  loss_pixel: 0.4364  best_loss_pixel: 0.4324  
