epoch: 1  D_loss: 0.088566  G_loss: 65.720749  loss_pixel: 0.6470  best_loss_pixel: 0.6539  
epoch: 2  D_loss: 0.033258  G_loss: 63.726124  loss_pixel: 0.6274  best_loss_pixel: 0.6366  
epoch: 3  D_loss: 0.024227  G_loss: 63.238518  loss_pixel: 0.6227  best_loss_pixel: 0.6287  
epoch: 4  D_loss: 0.018451  G_loss: 62.245712  loss_pixel: 0.6124  best_loss_pixel: 0.6225  
epoch: 5  D_loss: 0.032085  G_loss: 61.695648  loss_pixel: 0.6073  best_loss_pixel: 0.6058  
epoch: 6  D_loss: 0.008562  G_loss: 60.905807  loss_pixel: 0.5984  best_loss_pixel: 0.5995  
epoch: 7  D_loss: 0.009437  G_loss: 59.341827  loss_pixel: 0.5836  best_loss_pixel: 0.5750  
epoch: 8  D_loss: 0.012627  G_loss: 58.749977  loss_pixel: 0.5784  best_loss_pixel: 0.5748  
epoch: 9  D_loss: 0.062476  G_loss: 57.673950  loss_pixel: 0.5661  best_loss_pixel: 0.5701  
epoch: 10  D_loss: 0.006161  G_loss: 56.614727  loss_pixel: 0.5564  best_loss_pixel: 0.5550  
epoch: 11  D_loss: 0.041414  G_loss: 55.360352  loss_pixel: 0.5436  best_loss_pixel: 0.5424  
epoch: 12  D_loss: 0.005408  G_loss: 54.502193  loss_pixel: 0.5355  best_loss_pixel: 0.5354  
epoch: 13  D_loss: 0.022309  G_loss: 53.213570  loss_pixel: 0.5219  best_loss_pixel: 0.5233  
epoch: 14  D_loss: 0.033967  G_loss: 54.020382  loss_pixel: 0.5299  best_loss_pixel: 0.5233  
epoch: 15  D_loss: 0.014102  G_loss: 51.562103  loss_pixel: 0.5049  best_loss_pixel: 0.5193  
epoch: 16  D_loss: 0.020941  G_loss: 51.605976  loss_pixel: 0.5057  best_loss_pixel: 0.5058  
epoch: 17  D_loss: 0.012485  G_loss: 50.620121  loss_pixel: 0.4962  best_loss_pixel: 0.5056  
epoch: 18  D_loss: 0.030969  G_loss: 49.189159  loss_pixel: 0.4821  best_loss_pixel: 0.4850  
epoch: 19  D_loss: 0.003045  G_loss: 48.145996  loss_pixel: 0.4716  best_loss_pixel: 0.4773  
epoch: 20  D_loss: 0.006001  G_loss: 47.620834  loss_pixel: 0.4663  best_loss_pixel: 0.4657  
epoch: 21  D_loss: 0.003116  G_loss: 47.137943  loss_pixel: 0.4613  best_loss_pixel: 0.4657  
epoch: 22  D_loss: 0.002861  G_loss: 46.078175  loss_pixel: 0.4511  best_loss_pixel: 0.4601  
epoch: 23  D_loss: 0.026296  G_loss: 45.884460  loss_pixel: 0.4489  best_loss_pixel: 0.4494  
epoch: 24  D_loss: 0.006563  G_loss: 44.573742  loss_pixel: 0.4359  best_loss_pixel: 0.4236  
epoch: 25  D_loss: 0.004508  G_loss: 43.527878  loss_pixel: 0.4255  best_loss_pixel: 0.4236  
epoch: 26  D_loss: 0.234417  G_loss: 43.233162  loss_pixel: 0.4220  best_loss_pixel: 0.4146  
epoch: 27  D_loss: 0.001846  G_loss: 41.580807  loss_pixel: 0.4060  best_loss_pixel: 0.4062  
