epoch: 1  D_loss: 0.108288  G_loss: 65.308517  loss_pixel: 0.6427  best_loss_pixel: 0.6581  
epoch: 2  D_loss: 0.034374  G_loss: 64.784569  loss_pixel: 0.6386  best_loss_pixel: 0.6337  
epoch: 3  D_loss: 0.019632  G_loss: 64.293320  loss_pixel: 0.6335  best_loss_pixel: 0.6337  
epoch: 4  D_loss: 0.018922  G_loss: 62.901096  loss_pixel: 0.6192  best_loss_pixel: 0.6257  
epoch: 5  D_loss: 0.009067  G_loss: 61.886604  loss_pixel: 0.6090  best_loss_pixel: 0.6041  
epoch: 6  D_loss: 0.028201  G_loss: 60.845806  loss_pixel: 0.5970  best_loss_pixel: 0.6041  
epoch: 7  D_loss: 0.006603  G_loss: 59.766148  loss_pixel: 0.5877  best_loss_pixel: 0.5874  
epoch: 8  D_loss: 0.019962  G_loss: 58.116051  loss_pixel: 0.5701  best_loss_pixel: 0.5874  
epoch: 9  D_loss: 0.006479  G_loss: 58.183891  loss_pixel: 0.5714  best_loss_pixel: 0.5806  
epoch: 10  D_loss: 0.005126  G_loss: 56.237522  loss_pixel: 0.5522  best_loss_pixel: 0.5720  
epoch: 11  D_loss: 0.009572  G_loss: 56.415478  loss_pixel: 0.5535  best_loss_pixel: 0.5511  
epoch: 12  D_loss: 0.005879  G_loss: 55.304794  loss_pixel: 0.5431  best_loss_pixel: 0.5387  
epoch: 13  D_loss: 0.014323  G_loss: 54.034019  loss_pixel: 0.5291  best_loss_pixel: 0.5387  
epoch: 14  D_loss: 0.003538  G_loss: 53.094524  loss_pixel: 0.5213  best_loss_pixel: 0.5314  
epoch: 15  D_loss: 0.010633  G_loss: 52.829674  loss_pixel: 0.5182  best_loss_pixel: 0.5073  
epoch: 16  D_loss: 0.003995  G_loss: 52.071960  loss_pixel: 0.5108  best_loss_pixel: 0.5073  
epoch: 17  D_loss: 0.024146  G_loss: 49.929306  loss_pixel: 0.4901  best_loss_pixel: 0.5073  
epoch: 18  D_loss: 0.014353  G_loss: 49.949577  loss_pixel: 0.4886  best_loss_pixel: 0.4942  
epoch: 19  D_loss: 0.024947  G_loss: 48.610104  loss_pixel: 0.4756  best_loss_pixel: 0.4847  
epoch: 20  D_loss: 0.007016  G_loss: 48.624935  loss_pixel: 0.4763  best_loss_pixel: 0.4722  
epoch: 21  D_loss: 0.003146  G_loss: 47.354630  loss_pixel: 0.4633  best_loss_pixel: 0.4666  
epoch: 22  D_loss: 0.002293  G_loss: 46.377808  loss_pixel: 0.4540  best_loss_pixel: 0.4524  
