epoch: 1  D_loss: 0.105144  G_loss: 65.667191  loss_pixel: 0.6470  best_loss_pixel: 0.6543  
epoch: 2  D_loss: 0.042420  G_loss: 64.729187  loss_pixel: 0.6373  best_loss_pixel: 0.6483  
epoch: 3  D_loss: 0.031465  G_loss: 63.837177  loss_pixel: 0.6280  best_loss_pixel: 0.6379  
epoch: 4  D_loss: 0.021464  G_loss: 62.377949  loss_pixel: 0.6134  best_loss_pixel: 0.6139  
epoch: 5  D_loss: 0.017779  G_loss: 62.013023  loss_pixel: 0.6109  best_loss_pixel: 0.6139  
epoch: 6  D_loss: 0.044126  G_loss: 60.613209  loss_pixel: 0.5968  best_loss_pixel: 0.5957  
epoch: 7  D_loss: 0.008632  G_loss: 60.314144  loss_pixel: 0.5929  best_loss_pixel: 0.5837  
epoch: 8  D_loss: 0.009469  G_loss: 59.075085  loss_pixel: 0.5814  best_loss_pixel: 0.5837  
epoch: 9  D_loss: 0.008825  G_loss: 57.629147  loss_pixel: 0.5668  best_loss_pixel: 0.5705  
epoch: 10  D_loss: 0.011670  G_loss: 57.355354  loss_pixel: 0.5633  best_loss_pixel: 0.5698  
epoch: 11  D_loss: 0.005983  G_loss: 56.902771  loss_pixel: 0.5592  best_loss_pixel: 0.5388  
epoch: 12  D_loss: 0.011746  G_loss: 54.610992  loss_pixel: 0.5370  best_loss_pixel: 0.5388  
epoch: 13  D_loss: 0.006338  G_loss: 53.966942  loss_pixel: 0.5297  best_loss_pixel: 0.5380  
epoch: 14  D_loss: 0.004120  G_loss: 52.943050  loss_pixel: 0.5199  best_loss_pixel: 0.5232  
epoch: 15  D_loss: 0.009131  G_loss: 52.101280  loss_pixel: 0.5104  best_loss_pixel: 0.5232  
epoch: 16  D_loss: 0.007623  G_loss: 51.155678  loss_pixel: 0.5011  best_loss_pixel: 0.5126  
epoch: 17  D_loss: 0.004254  G_loss: 51.414776  loss_pixel: 0.5047  best_loss_pixel: 0.4995  
epoch: 18  D_loss: 0.006088  G_loss: 49.165367  loss_pixel: 0.4821  best_loss_pixel: 0.4831  
epoch: 19  D_loss: 0.002745  G_loss: 48.475243  loss_pixel: 0.4745  best_loss_pixel: 0.4784  
epoch: 20  D_loss: 0.003148  G_loss: 48.112133  loss_pixel: 0.4708  best_loss_pixel: 0.4784  
epoch: 21  D_loss: 0.002398  G_loss: 47.256104  loss_pixel: 0.4627  best_loss_pixel: 0.4713  
epoch: 22  D_loss: 0.006450  G_loss: 46.449924  loss_pixel: 0.4550  best_loss_pixel: 0.4639  
epoch: 23  D_loss: 0.008289  G_loss: 45.740150  loss_pixel: 0.4473  best_loss_pixel: 0.4639  
