epoch: 1  D_loss: 0.054953  G_loss: 54.254650  loss_pixel: 0.5316  best_loss_pixel: 0.5514  
epoch: 2  D_loss: 0.027107  G_loss: 52.605091  loss_pixel: 0.5166  best_loss_pixel: 0.5210  
epoch: 3  D_loss: 0.020204  G_loss: 51.228706  loss_pixel: 0.5016  best_loss_pixel: 0.5120  
epoch: 4  D_loss: 0.045012  G_loss: 49.599125  loss_pixel: 0.4870  best_loss_pixel: 0.5069  
epoch: 5  D_loss: 0.018673  G_loss: 48.225407  loss_pixel: 0.4732  best_loss_pixel: 0.4767  
epoch: 6  D_loss: 0.010591  G_loss: 47.642708  loss_pixel: 0.4663  best_loss_pixel: 0.4678  
epoch: 7  D_loss: 0.006493  G_loss: 46.822277  loss_pixel: 0.4580  best_loss_pixel: 0.4584  
epoch: 8  D_loss: 0.007205  G_loss: 44.356758  loss_pixel: 0.4338  best_loss_pixel: 0.4435  
epoch: 9  D_loss: 0.004204  G_loss: 43.613400  loss_pixel: 0.4263  best_loss_pixel: 0.4359  
epoch: 10  D_loss: 0.006568  G_loss: 43.565254  loss_pixel: 0.4262  best_loss_pixel: 0.4283  
epoch: 11  D_loss: 0.023184  G_loss: 42.044373  loss_pixel: 0.4107  best_loss_pixel: 0.4227  
epoch: 12  D_loss: 0.003226  G_loss: 41.456276  loss_pixel: 0.4047  best_loss_pixel: 0.4044  
epoch: 13  D_loss: 0.003684  G_loss: 40.655983  loss_pixel: 0.3972  best_loss_pixel: 0.4044  
epoch: 14  D_loss: 0.010594  G_loss: 40.498756  loss_pixel: 0.3959  best_loss_pixel: 0.4044  
epoch: 15  D_loss: 0.007950  G_loss: 40.589809  loss_pixel: 0.3957  best_loss_pixel: 0.3971  
epoch: 16  D_loss: 0.003303  G_loss: 38.864185  loss_pixel: 0.3791  best_loss_pixel: 0.3965  
epoch: 17  D_loss: 0.007529  G_loss: 38.393375  loss_pixel: 0.3740  best_loss_pixel: 0.3923  
epoch: 18  D_loss: 0.002209  G_loss: 38.716228  loss_pixel: 0.3771  best_loss_pixel: 0.3788  
epoch: 19  D_loss: 0.002245  G_loss: 37.386269  loss_pixel: 0.3637  best_loss_pixel: 0.3772  
epoch: 20  D_loss: 0.008040  G_loss: 36.972885  loss_pixel: 0.3597  best_loss_pixel: 0.3631  
epoch: 21  D_loss: 0.003960  G_loss: 35.395580  loss_pixel: 0.3436  best_loss_pixel: 0.3582  
epoch: 22  D_loss: 0.016909  G_loss: 35.393108  loss_pixel: 0.3439  best_loss_pixel: 0.3417  
epoch: 23  D_loss: 0.002350  G_loss: 34.403851  loss_pixel: 0.3342  best_loss_pixel: 0.3417  
epoch: 24  D_loss: 0.002924  G_loss: 33.802471  loss_pixel: 0.3282  best_loss_pixel: 0.3417  
epoch: 25  D_loss: 0.002040  G_loss: 33.936626  loss_pixel: 0.3298  best_loss_pixel: 0.3417  
epoch: 26  D_loss: 0.524341  G_loss: 29.256748  loss_pixel: 0.2839  best_loss_pixel: 0.3032  
epoch: 27  D_loss: 0.003075  G_loss: 28.745716  loss_pixel: 0.2779  best_loss_pixel: 0.2848  
epoch: 28  D_loss: 0.003801  G_loss: 25.552843  loss_pixel: 0.2463  best_loss_pixel: 0.2539  
epoch: 29  D_loss: 0.002423  G_loss: 25.070719  loss_pixel: 0.2410  best_loss_pixel: 0.2539  
epoch: 30  D_loss: 0.001513  G_loss: 24.290112  loss_pixel: 0.2331  best_loss_pixel: 0.2439  
epoch: 31  D_loss: 0.001996  G_loss: 22.054737  loss_pixel: 0.2101  best_loss_pixel: 0.2266  
epoch: 32  D_loss: 0.000837  G_loss: 21.672909  loss_pixel: 0.2069  best_loss_pixel: 0.2234  
epoch: 33  D_loss: 0.002211  G_loss: 19.985720  loss_pixel: 0.1890  best_loss_pixel: 0.2100  
epoch: 34  D_loss: 0.001627  G_loss: 18.630527  loss_pixel: 0.1765  best_loss_pixel: 0.1929  
epoch: 35  D_loss: 0.000914  G_loss: 18.796915  loss_pixel: 0.1777  best_loss_pixel: 0.1864  
epoch: 36  D_loss: 0.001652  G_loss: 16.157713  loss_pixel: 0.1512  best_loss_pixel: 0.1774  
epoch: 37  D_loss: 0.003894  G_loss: 16.450882  loss_pixel: 0.1552  best_loss_pixel: 0.1666  
epoch: 38  D_loss: 0.001365  G_loss: 15.986052  loss_pixel: 0.1505  best_loss_pixel: 0.1649  
epoch: 39  D_loss: 0.011860  G_loss: 14.856949  loss_pixel: 0.1372  best_loss_pixel: 0.1471  
epoch: 40  D_loss: 0.005911  G_loss: 13.227116  loss_pixel: 0.1220  best_loss_pixel: 0.1404  
