epoch: 1  D_loss: 0.096264  G_loss: 55.161106  loss_pixel: 0.5414  best_loss_pixel: 0.5458  
epoch: 2  D_loss: 0.047425  G_loss: 52.311806  loss_pixel: 0.5121  best_loss_pixel: 0.5336  
epoch: 3  D_loss: 0.075625  G_loss: 52.062050  loss_pixel: 0.5098  best_loss_pixel: 0.5263  
epoch: 4  D_loss: 0.014481  G_loss: 51.709850  loss_pixel: 0.5074  best_loss_pixel: 0.5094  
epoch: 5  D_loss: 0.017205  G_loss: 50.729267  loss_pixel: 0.4964  best_loss_pixel: 0.5019  
epoch: 6  D_loss: 0.008715  G_loss: 50.562702  loss_pixel: 0.4951  best_loss_pixel: 0.4976  
epoch: 7  D_loss: 0.015609  G_loss: 48.834797  loss_pixel: 0.4789  best_loss_pixel: 0.4973  
epoch: 8  D_loss: 0.038186  G_loss: 48.539337  loss_pixel: 0.4757  best_loss_pixel: 0.4772  
epoch: 9  D_loss: 0.008300  G_loss: 48.401382  loss_pixel: 0.4738  best_loss_pixel: 0.4772  
epoch: 10  D_loss: 0.008947  G_loss: 47.684204  loss_pixel: 0.4667  best_loss_pixel: 0.4772  
epoch: 11  D_loss: 0.005554  G_loss: 46.840652  loss_pixel: 0.4587  best_loss_pixel: 0.4691  
epoch: 12  D_loss: 0.011262  G_loss: 46.391632  loss_pixel: 0.4540  best_loss_pixel: 0.4586  
epoch: 13  D_loss: 0.026736  G_loss: 45.866013  loss_pixel: 0.4484  best_loss_pixel: 0.4551  
epoch: 14  D_loss: 0.022121  G_loss: 45.470207  loss_pixel: 0.4446  best_loss_pixel: 0.4488  
epoch: 15  D_loss: 0.006188  G_loss: 45.421227  loss_pixel: 0.4442  best_loss_pixel: 0.4488  
epoch: 16  D_loss: 0.007744  G_loss: 44.011673  loss_pixel: 0.4303  best_loss_pixel: 0.4459  
epoch: 17  D_loss: 0.005907  G_loss: 43.660130  loss_pixel: 0.4263  best_loss_pixel: 0.4360  
epoch: 18  D_loss: 0.015770  G_loss: 43.152985  loss_pixel: 0.4213  best_loss_pixel: 0.4296  
epoch: 19  D_loss: 0.004441  G_loss: 43.404415  loss_pixel: 0.4243  best_loss_pixel: 0.4296  
epoch: 20  D_loss: 0.004800  G_loss: 42.429405  loss_pixel: 0.4142  best_loss_pixel: 0.4154  
epoch: 21  D_loss: 0.005693  G_loss: 42.136204  loss_pixel: 0.4117  best_loss_pixel: 0.4086  
epoch: 22  D_loss: 0.007545  G_loss: 41.790466  loss_pixel: 0.4077  best_loss_pixel: 0.4086  
epoch: 23  D_loss: 0.047343  G_loss: 41.317345  loss_pixel: 0.4029  best_loss_pixel: 0.4027  
epoch: 24  D_loss: 0.002834  G_loss: 40.290234  loss_pixel: 0.3926  best_loss_pixel: 0.4027  
epoch: 25  D_loss: 0.005912  G_loss: 40.402657  loss_pixel: 0.3942  best_loss_pixel: 0.4027  
epoch: 26  D_loss: 0.004171  G_loss: 39.540848  loss_pixel: 0.3858  best_loss_pixel: 0.3886  
epoch: 27  D_loss: 0.007899  G_loss: 39.936127  loss_pixel: 0.3893  best_loss_pixel: 0.3886  
epoch: 28  D_loss: 0.007674  G_loss: 39.644623  loss_pixel: 0.3867  best_loss_pixel: 0.3872  
epoch: 29  D_loss: 0.013224  G_loss: 38.586819  loss_pixel: 0.3764  best_loss_pixel: 0.3872  
epoch: 30  D_loss: 0.003594  G_loss: 38.540546  loss_pixel: 0.3754  best_loss_pixel: 0.3786  
epoch: 31  D_loss: 0.001915  G_loss: 38.189934  loss_pixel: 0.3723  best_loss_pixel: 0.3761  
epoch: 32  D_loss: 0.006608  G_loss: 37.615116  loss_pixel: 0.3664  best_loss_pixel: 0.3713  
epoch: 33  D_loss: 0.017464  G_loss: 37.723293  loss_pixel: 0.3673  best_loss_pixel: 0.3666  
epoch: 34  D_loss: 0.002733  G_loss: 37.568455  loss_pixel: 0.3656  best_loss_pixel: 0.3606  
epoch: 35  D_loss: 0.013627  G_loss: 37.565132  loss_pixel: 0.3664  best_loss_pixel: 0.3606  
epoch: 36  D_loss: 0.002565  G_loss: 34.149910  loss_pixel: 0.3318  best_loss_pixel: 0.3394  
epoch: 37  D_loss: 0.001455  G_loss: 32.957474  loss_pixel: 0.3196  best_loss_pixel: 0.3356  
epoch: 38  D_loss: 0.001727  G_loss: 33.650364  loss_pixel: 0.3266  best_loss_pixel: 0.3224  
epoch: 39  D_loss: 0.001019  G_loss: 32.896057  loss_pixel: 0.3188  best_loss_pixel: 0.3166  
epoch: 40  D_loss: 0.002628  G_loss: 31.862858  loss_pixel: 0.3089  best_loss_pixel: 0.3166  
epoch: 41  D_loss: 0.000989  G_loss: 31.125401  loss_pixel: 0.3012  best_loss_pixel: 0.3077  
epoch: 42  D_loss: 0.003155  G_loss: 30.000742  loss_pixel: 0.2899  best_loss_pixel: 0.2993  
