epoch: 1  D_loss: 0.054938  G_loss: 53.615929  loss_pixel: 0.5272  best_loss_pixel: 0.5414  
epoch: 2  D_loss: 0.030023  G_loss: 51.658611  loss_pixel: 0.5062  best_loss_pixel: 0.5199  
epoch: 3  D_loss: 0.011213  G_loss: 50.207817  loss_pixel: 0.4915  best_loss_pixel: 0.4900  
epoch: 4  D_loss: 0.008798  G_loss: 49.293018  loss_pixel: 0.4825  best_loss_pixel: 0.4801  
epoch: 5  D_loss: 0.013047  G_loss: 47.642952  loss_pixel: 0.4661  best_loss_pixel: 0.4705  
epoch: 6  D_loss: 0.010267  G_loss: 46.729752  loss_pixel: 0.4572  best_loss_pixel: 0.4606  
epoch: 7  D_loss: 0.006661  G_loss: 45.064754  loss_pixel: 0.4410  best_loss_pixel: 0.4401  
epoch: 8  D_loss: 0.010890  G_loss: 44.191677  loss_pixel: 0.4312  best_loss_pixel: 0.4267  
epoch: 9  D_loss: 0.013206  G_loss: 43.690083  loss_pixel: 0.4265  best_loss_pixel: 0.4201  
epoch: 10  D_loss: 0.012897  G_loss: 42.456398  loss_pixel: 0.4143  best_loss_pixel: 0.4150  
epoch: 11  D_loss: 0.010781  G_loss: 41.525551  loss_pixel: 0.4053  best_loss_pixel: 0.4137  
epoch: 12  D_loss: 0.002652  G_loss: 39.594036  loss_pixel: 0.3859  best_loss_pixel: 0.3893  
epoch: 13  D_loss: 0.002586  G_loss: 39.620251  loss_pixel: 0.3858  best_loss_pixel: 0.3893  
epoch: 14  D_loss: 0.009376  G_loss: 38.601910  loss_pixel: 0.3758  best_loss_pixel: 0.3893  
epoch: 15  D_loss: 0.008280  G_loss: 38.669838  loss_pixel: 0.3770  best_loss_pixel: 0.3676  
epoch: 16  D_loss: 0.003995  G_loss: 37.050426  loss_pixel: 0.3601  best_loss_pixel: 0.3676  
epoch: 17  D_loss: 0.004344  G_loss: 38.131828  loss_pixel: 0.3709  best_loss_pixel: 0.3676  
epoch: 18  D_loss: 0.016334  G_loss: 36.895306  loss_pixel: 0.3594  best_loss_pixel: 0.3676  
epoch: 19  D_loss: 0.016551  G_loss: 37.186298  loss_pixel: 0.3618  best_loss_pixel: 0.3548  
epoch: 20  D_loss: 0.001865  G_loss: 36.078083  loss_pixel: 0.3507  best_loss_pixel: 0.3454  
epoch: 21  D_loss: 0.963057  G_loss: 36.063114  loss_pixel: 0.3451  best_loss_pixel: 0.3340  
epoch: 22  D_loss: 0.007628  G_loss: 30.954548  loss_pixel: 0.2991  best_loss_pixel: 0.3019  
epoch: 23  D_loss: 0.008375  G_loss: 29.439812  loss_pixel: 0.2855  best_loss_pixel: 0.2839  
epoch: 24  D_loss: 0.001804  G_loss: 28.112661  loss_pixel: 0.2709  best_loss_pixel: 0.2640  
epoch: 25  D_loss: 0.003034  G_loss: 26.605177  loss_pixel: 0.2557  best_loss_pixel: 0.2640  
epoch: 26  D_loss: 0.002921  G_loss: 26.205563  loss_pixel: 0.2519  best_loss_pixel: 0.2640  
epoch: 27  D_loss: 0.008209  G_loss: 24.841444  loss_pixel: 0.2395  best_loss_pixel: 0.2500  
epoch: 28  D_loss: 0.001512  G_loss: 24.551783  loss_pixel: 0.2357  best_loss_pixel: 0.2327  
epoch: 29  D_loss: 0.002811  G_loss: 23.083168  loss_pixel: 0.2211  best_loss_pixel: 0.2259  
epoch: 30  D_loss: 0.002315  G_loss: 23.024033  loss_pixel: 0.2206  best_loss_pixel: 0.2078  
epoch: 31  D_loss: 0.001574  G_loss: 20.364773  loss_pixel: 0.1939  best_loss_pixel: 0.1934  
epoch: 32  D_loss: 0.009770  G_loss: 20.182365  loss_pixel: 0.1918  best_loss_pixel: 0.1871  
epoch: 33  D_loss: 0.016609  G_loss: 19.420191  loss_pixel: 0.1841  best_loss_pixel: 0.1816  
epoch: 34  D_loss: 0.002088  G_loss: 17.720337  loss_pixel: 0.1669  best_loss_pixel: 0.1812  
epoch: 35  D_loss: 0.004430  G_loss: 18.258627  loss_pixel: 0.1737  best_loss_pixel: 0.1805  
epoch: 36  D_loss: 0.001935  G_loss: 16.488701  loss_pixel: 0.1551  best_loss_pixel: 0.1731  
epoch: 37  D_loss: 0.008725  G_loss: 16.236914  loss_pixel: 0.1531  best_loss_pixel: 0.1588  
epoch: 38  D_loss: 0.001182  G_loss: 15.442060  loss_pixel: 0.1445  best_loss_pixel: 0.1493  
epoch: 39  D_loss: 0.001698  G_loss: 13.699134  loss_pixel: 0.1268  best_loss_pixel: 0.1340  
epoch: 40  D_loss: 0.001491  G_loss: 13.600750  loss_pixel: 0.1263  best_loss_pixel: 0.1305  
epoch: 41  D_loss: 0.015359  G_loss: 13.480714  loss_pixel: 0.1245  best_loss_pixel: 0.1238  
epoch: 42  D_loss: 0.003896  G_loss: 13.237135  loss_pixel: 0.1231  best_loss_pixel: 0.1117  
epoch: 43  D_loss: 0.004863  G_loss: 11.489374  loss_pixel: 0.1049  best_loss_pixel: 0.1117  
epoch: 44  D_loss: 0.002104  G_loss: 10.492887  loss_pixel: 0.0949  best_loss_pixel: 0.1108  
epoch: 45  D_loss: 0.002051  G_loss: 10.991931  loss_pixel: 0.1007  best_loss_pixel: 0.1033  
epoch: 46  D_loss: 0.001643  G_loss: 10.576919  loss_pixel: 0.0953  best_loss_pixel: 0.0913  
epoch: 47  D_loss: 0.007158  G_loss: 9.576746  loss_pixel: 0.0858  best_loss_pixel: 0.0913  
epoch: 48  D_loss: 0.006846  G_loss: 9.745918  loss_pixel: 0.0870  best_loss_pixel: 0.0889  
epoch: 49  D_loss: 0.001021  G_loss: 8.455973  loss_pixel: 0.0750  best_loss_pixel: 0.0817  
epoch: 50  D_loss: 0.001163  G_loss: 8.068597  loss_pixel: 0.0708  best_loss_pixel: 0.0811  
epoch: 51  D_loss: 0.002840  G_loss: 8.166834  loss_pixel: 0.0711  best_loss_pixel: 0.0772  
epoch: 52  D_loss: 0.002640  G_loss: 6.898834  loss_pixel: 0.0593  best_loss_pixel: 0.0690  
epoch: 53  D_loss: 0.003950  G_loss: 7.023434  loss_pixel: 0.0602  best_loss_pixel: 0.0613  
epoch: 54  D_loss: 0.002470  G_loss: 6.892719  loss_pixel: 0.0586  best_loss_pixel: 0.0613  
epoch: 55  D_loss: 0.002914  G_loss: 6.993141  loss_pixel: 0.0596  best_loss_pixel: 0.0564  
epoch: 56  D_loss: 0.001527  G_loss: 6.491512  loss_pixel: 0.0546  best_loss_pixel: 0.0564  
epoch: 57  D_loss: 0.019021  G_loss: 6.353074  loss_pixel: 0.0538  best_loss_pixel: 0.0564  
epoch: 58  D_loss: 0.003527  G_loss: 6.262817  loss_pixel: 0.0525  best_loss_pixel: 0.0539  
epoch: 59  D_loss: 0.022415  G_loss: 5.841236  loss_pixel: 0.0480  best_loss_pixel: 0.0503  
epoch: 60  D_loss: 0.001733  G_loss: 5.992597  loss_pixel: 0.0500  best_loss_pixel: 0.0503  
epoch: 61  D_loss: 0.004278  G_loss: 5.539636  loss_pixel: 0.0458  best_loss_pixel: 0.0495  
epoch: 62  D_loss: 0.002030  G_loss: 5.550580  loss_pixel: 0.0450  best_loss_pixel: 0.0464  
epoch: 63  D_loss: 0.002485  G_loss: 5.780351  loss_pixel: 0.0476  best_loss_pixel: 0.0464  
epoch: 64  D_loss: 0.011900  G_loss: 5.338224  loss_pixel: 0.0430  best_loss_pixel: 0.0464  
epoch: 65  D_loss: 0.001589  G_loss: 4.498932  loss_pixel: 0.0353  best_loss_pixel: 0.0464  
epoch: 66  D_loss: 0.003323  G_loss: 5.852663  loss_pixel: 0.0494  best_loss_pixel: 0.0460  
epoch: 67  D_loss: 0.006929  G_loss: 5.754069  loss_pixel: 0.0462  best_loss_pixel: 0.0452  
epoch: 68  D_loss: 0.001852  G_loss: 4.057386  loss_pixel: 0.0309  best_loss_pixel: 0.0452  
epoch: 69  D_loss: 5.087024  G_loss: 10.418079  loss_pixel: 0.0494  best_loss_pixel: 0.0452  
epoch: 70  D_loss: 0.112694  G_loss: 4.336372  loss_pixel: 0.0403  best_loss_pixel: 0.0452  
epoch: 71  D_loss: 0.058099  G_loss: 4.821360  loss_pixel: 0.0426  best_loss_pixel: 0.0452  
epoch: 72  D_loss: 0.257684  G_loss: 5.504538  loss_pixel: 0.0427  best_loss_pixel: 0.0452  
epoch: 73  D_loss: 0.129553  G_loss: 5.097294  loss_pixel: 0.0404  best_loss_pixel: 0.0452  
epoch: 74  D_loss: 0.050486  G_loss: 4.829335  loss_pixel: 0.0425  best_loss_pixel: 0.0452  
epoch: 75  D_loss: 0.018052  G_loss: 5.814963  loss_pixel: 0.0483  best_loss_pixel: 0.0452  
epoch: 76  D_loss: 0.017475  G_loss: 4.650609  loss_pixel: 0.0363  best_loss_pixel: 0.0361  
epoch: 77  D_loss: 0.072356  G_loss: 4.651395  loss_pixel: 0.0373  best_loss_pixel: 0.0361  
epoch: 78  D_loss: 0.039808  G_loss: 3.760377  loss_pixel: 0.0310  best_loss_pixel: 0.0361  
epoch: 79  D_loss: 0.025489  G_loss: 4.544394  loss_pixel: 0.0378  best_loss_pixel: 0.0361  
epoch: 80  D_loss: 0.042313  G_loss: 4.377603  loss_pixel: 0.0312  best_loss_pixel: 0.0361  
epoch: 81  D_loss: 0.087599  G_loss: 4.022151  loss_pixel: 0.0356  best_loss_pixel: 0.0361  
epoch: 82  D_loss: 0.005856  G_loss: 4.249167  loss_pixel: 0.0313  best_loss_pixel: 0.0358  
epoch: 83  D_loss: 0.223722  G_loss: 4.120193  loss_pixel: 0.0370  best_loss_pixel: 0.0358  
epoch: 84  D_loss: 0.258485  G_loss: 3.589074  loss_pixel: 0.0344  best_loss_pixel: 0.0342  
epoch: 85  D_loss: 0.136945  G_loss: 3.703345  loss_pixel: 0.0310  best_loss_pixel: 0.0342  
epoch: 86  D_loss: 0.284511  G_loss: 3.321523  loss_pixel: 0.0320  best_loss_pixel: 0.0308  
epoch: 87  D_loss: 0.186057  G_loss: 3.359305  loss_pixel: 0.0292  best_loss_pixel: 0.0308  
epoch: 88  D_loss: 0.189460  G_loss: 3.605434  loss_pixel: 0.0323  best_loss_pixel: 0.0308  
epoch: 89  D_loss: 0.154053  G_loss: 3.934720  loss_pixel: 0.0361  best_loss_pixel: 0.0308  
