epoch:1  D_loss:0.918681  G_loss:66.081345  loss_pixel:0.6475  lr:0.0000020  
epoch:2  D_loss:0.149755  G_loss:57.156242  loss_pixel:0.5602  lr:0.0000220  
epoch:3  D_loss:0.046290  G_loss:54.766441  loss_pixel:0.5373  lr:0.0000420  
epoch:4  D_loss:0.025849  G_loss:53.354645  loss_pixel:0.5238  lr:0.0000619  

epoch: 81  D_loss: 0.161473  G_loss: 3.771135  loss_pixel: 0.0350  lr: 0.0000020  
epoch: 82  D_loss: 0.177310  G_loss: 3.852597  loss_pixel: 0.0349  lr: 0.0000220  
epoch: 83  D_loss: 0.153733  G_loss: 3.695779  loss_pixel: 0.0324  lr: 0.0000420  
epoch: 84  D_loss: 0.211995  G_loss: 3.876893  loss_pixel: 0.0356  lr: 0.0000619  
epoch: 85  D_loss: 0.184908  G_loss: 3.494007  loss_pixel: 0.0303  lr: 0.0000819  
epoch: 86  D_loss: 0.152429  G_loss: 4.025955  loss_pixel: 0.0341  lr: 0.0001019  
epoch: 87  D_loss: 0.058704  G_loss: 4.306113  loss_pixel: 0.0377  lr: 0.0001219  
epoch: 88  D_loss: 0.155270  G_loss: 3.923965  loss_pixel: 0.0351  lr: 0.0001419  
epoch: 89  D_loss: 0.154614  G_loss: 3.903221  loss_pixel: 0.0349  lr: 0.0001618  
epoch: 90  D_loss: 0.227693  G_loss: 3.494512  loss_pixel: 0.0313  lr: 0.0001818  
epoch: 91  D_loss: 0.117050  G_loss: 4.203539  loss_pixel: 0.0379  lr: 0.0002018  
epoch: 92  D_loss: 0.186627  G_loss: 4.288462  loss_pixel: 0.0343  lr: 0.0002218  
epoch: 93  D_loss: 0.130137  G_loss: 3.777423  loss_pixel: 0.0338  lr: 0.0002418  
epoch: 94  D_loss: 0.227355  G_loss: 3.641190  loss_pixel: 0.0328  lr: 0.0002617  
epoch: 95  D_loss: 0.104346  G_loss: 4.020730  loss_pixel: 0.0342  lr: 0.0002817  
epoch: 96  D_loss: 0.243166  G_loss: 3.703435  loss_pixel: 0.0353  lr: 0.0003017  
epoch: 97  D_loss: 0.165318  G_loss: 3.839326  loss_pixel: 0.0354  lr: 0.0003217  
epoch: 98  D_loss: 0.138963  G_loss: 3.700860  loss_pixel: 0.0322  lr: 0.0003417  
epoch: 99  D_loss: 0.131173  G_loss: 3.754739  loss_pixel: 0.0324  lr: 0.0003616  
epoch: 100  D_loss: 0.159910  G_loss: 3.403295  loss_pixel: 0.0307  lr: 0.0003816  
epoch: 101  D_loss: 0.141182  G_loss: 3.806963  loss_pixel: 0.0342  lr: 0.0004016  
epoch: 102  D_loss: 0.072702  G_loss: 4.148847  loss_pixel: 0.0366  lr: 0.0004216  
epoch: 103  D_loss: 0.089361  G_loss: 4.229673  loss_pixel: 0.0381  lr: 0.0004416  
epoch: 104  D_loss: 0.123428  G_loss: 4.203845  loss_pixel: 0.0380  lr: 0.0004615  
epoch: 105  D_loss: 0.054154  G_loss: 4.415195  loss_pixel: 0.0371  lr: 0.0004815  
epoch: 106  D_loss: 0.101044  G_loss: 4.075628  loss_pixel: 0.0358  lr: 0.0005015  
epoch: 107  D_loss: 0.253234  G_loss: 3.530876  loss_pixel: 0.0322  lr: 0.0005215  
epoch: 108  D_loss: 0.218924  G_loss: 3.759598  loss_pixel: 0.0322  lr: 0.0005415  
epoch: 109  D_loss: 0.209285  G_loss: 3.649703  loss_pixel: 0.0315  lr: 0.0005614  
epoch: 110  D_loss: 0.157758  G_loss: 3.918365  loss_pixel: 0.0341  lr: 0.0005814  
epoch: 111  D_loss: 0.119343  G_loss: 3.600374  loss_pixel: 0.0327  lr: 0.0006014  
epoch: 112  D_loss: 0.079195  G_loss: 4.192324  loss_pixel: 0.0368  lr: 0.0006214  
epoch: 113  D_loss: 0.121231  G_loss: 4.160340  loss_pixel: 0.0375  lr: 0.0006414  
epoch: 114  D_loss: 0.107618  G_loss: 4.099327  loss_pixel: 0.0358  lr: 0.0006613  
epoch: 115  D_loss: 0.191926  G_loss: 3.507775  loss_pixel: 0.0319  lr: 0.0006813  
epoch: 116  D_loss: 0.283707  G_loss: 3.921523  loss_pixel: 0.0367  lr: 0.0007013  
epoch: 117  D_loss: 0.148728  G_loss: 3.265954  loss_pixel: 0.0282  lr: 0.0007213  
epoch: 118  D_loss: 0.181313  G_loss: 3.884497  loss_pixel: 0.0358  lr: 0.0007413  
epoch: 119  D_loss: 0.214784  G_loss: 3.397384  loss_pixel: 0.0292  lr: 0.0007612  
epoch: 120  D_loss: 0.160005  G_loss: 3.201761  loss_pixel: 0.0294  lr: 0.0007812  
epoch: 121  D_loss: 0.145244  G_loss: 3.448709  loss_pixel: 0.0305  lr: 0.0008012  
epoch: 122  D_loss: 0.167063  G_loss: 3.410564  loss_pixel: 0.0315  lr: 0.0008212  
epoch: 123  D_loss: 0.115973  G_loss: 3.805763  loss_pixel: 0.0332  lr: 0.0008412  
epoch: 124  D_loss: 0.185808  G_loss: 3.654983  loss_pixel: 0.0318  lr: 0.0008611  
epoch: 125  D_loss: 0.105140  G_loss: 4.475389  loss_pixel: 0.0403  lr: 0.0008811  
epoch: 126  D_loss: 0.254343  G_loss: 3.634263  loss_pixel: 0.0329  lr: 0.0009011  
epoch: 127  D_loss: 0.203913  G_loss: 4.023077  loss_pixel: 0.0327  lr: 0.0009211  
epoch: 128  D_loss: 0.207588  G_loss: 4.040433  loss_pixel: 0.0317  lr: 0.0009411  
epoch: 129  D_loss: 0.149565  G_loss: 3.673619  loss_pixel: 0.0318  lr: 0.0009610  
epoch: 130  D_loss: 0.238492  G_loss: 3.488519  loss_pixel: 0.0312  lr: 0.0009810  
epoch: 131  D_loss: 0.229397  G_loss: 3.774518  loss_pixel: 0.0319  lr: 0.0010010  
epoch: 132  D_loss: 0.139928  G_loss: 3.338156  loss_pixel: 0.0299  lr: 0.0010210  
epoch: 133  D_loss: 0.153279  G_loss: 3.907594  loss_pixel: 0.0331  lr: 0.0010410  
epoch: 134  D_loss: 0.153815  G_loss: 3.707604  loss_pixel: 0.0338  lr: 0.0010609  
epoch: 135  D_loss: 0.211213  G_loss: 3.316853  loss_pixel: 0.0287  lr: 0.0010809  
epoch: 136  D_loss: 0.280380  G_loss: 3.371349  loss_pixel: 0.0306  lr: 0.0011009  
epoch: 137  D_loss: 0.236703  G_loss: 3.830503  loss_pixel: 0.0347  lr: 0.0011209  
