epoch: 1  D_loss: 0.347316  G_loss: 72.101334  loss_pixel: 0.7148  best_loss_pixel: 0.6939  
epoch: 2  D_loss: 0.265587  G_loss: 53.243504  loss_pixel: 0.5289  best_loss_pixel: 0.4972  
epoch: 3  D_loss: 0.236970  G_loss: 30.995993  loss_pixel: 0.3030  best_loss_pixel: 0.2768  
epoch: 4  D_loss: 0.381892  G_loss: 10.514097  loss_pixel: 0.1020  best_loss_pixel: 0.0798  
epoch: 5  D_loss: 0.145697  G_loss: 4.841704  loss_pixel: 0.0415  best_loss_pixel: 0.0688  
epoch: 6  D_loss: 0.225465  G_loss: 5.239508  loss_pixel: 0.0421  best_loss_pixel: 0.0553  
epoch: 7  D_loss: 0.379607  G_loss: 4.439679  loss_pixel: 0.0433  best_loss_pixel: 0.0482  
epoch: 8  D_loss: 0.199799  G_loss: 4.466779  loss_pixel: 0.0402  best_loss_pixel: 0.0482  
epoch: 9  D_loss: 0.115500  G_loss: 4.790626  loss_pixel: 0.0414  best_loss_pixel: 0.0482  
epoch: 10  D_loss: 0.104529  G_loss: 5.142234  loss_pixel: 0.0419  best_loss_pixel: 0.0482  
epoch: 11  D_loss: 0.297178  G_loss: 5.332338  loss_pixel: 0.0382  best_loss_pixel: 0.0482  
epoch: 12  D_loss: 0.176563  G_loss: 4.575470  loss_pixel: 0.0388  best_loss_pixel: 0.0448  
epoch: 13  D_loss: 0.220377  G_loss: 4.625328  loss_pixel: 0.0432  best_loss_pixel: 0.0448  
epoch: 14  D_loss: 0.122922  G_loss: 4.948892  loss_pixel: 0.0390  best_loss_pixel: 0.0448  
epoch: 15  D_loss: 0.095972  G_loss: 4.810475  loss_pixel: 0.0426  best_loss_pixel: 0.0448  
epoch: 16  D_loss: 0.209074  G_loss: 4.723347  loss_pixel: 0.0390  best_loss_pixel: 0.0448  
epoch: 17  D_loss: 0.100208  G_loss: 4.606471  loss_pixel: 0.0403  best_loss_pixel: 0.0448  
epoch: 18  D_loss: 0.223163  G_loss: 5.034616  loss_pixel: 0.0361  best_loss_pixel: 0.0448  
epoch: 19  D_loss: 0.221700  G_loss: 4.222318  loss_pixel: 0.0400  best_loss_pixel: 0.0448  
epoch: 20  D_loss: 0.102498  G_loss: 4.627221  loss_pixel: 0.0412  best_loss_pixel: 0.0433  
epoch: 21  D_loss: 0.243136  G_loss: 4.583548  loss_pixel: 0.0345  best_loss_pixel: 0.0433  
epoch: 22  D_loss: 0.135414  G_loss: 4.911018  loss_pixel: 0.0391  best_loss_pixel: 0.0433  
epoch: 23  D_loss: 0.070234  G_loss: 5.423260  loss_pixel: 0.0435  best_loss_pixel: 0.0433  
epoch: 24  D_loss: 0.113855  G_loss: 4.986360  loss_pixel: 0.0402  best_loss_pixel: 0.0433  
epoch: 25  D_loss: 0.132577  G_loss: 4.723739  loss_pixel: 0.0376  best_loss_pixel: 0.0433  
epoch: 26  D_loss: 0.270487  G_loss: 5.610543  loss_pixel: 0.0408  best_loss_pixel: 0.0433  
epoch: 27  D_loss: 0.137406  G_loss: 4.250237  loss_pixel: 0.0384  best_loss_pixel: 0.0433  
epoch: 28  D_loss: 0.093885  G_loss: 4.396864  loss_pixel: 0.0377  best_loss_pixel: 0.0433  
epoch: 29  D_loss: 0.348856  G_loss: 5.138807  loss_pixel: 0.0353  best_loss_pixel: 0.0433  
epoch: 30  D_loss: 0.183580  G_loss: 4.137189  loss_pixel: 0.0365  best_loss_pixel: 0.0433  
epoch: 31  D_loss: 0.330245  G_loss: 3.866275  loss_pixel: 0.0374  best_loss_pixel: 0.0433  
epoch: 32  D_loss: 0.123662  G_loss: 4.642954  loss_pixel: 0.0376  best_loss_pixel: 0.0404  
epoch: 33  D_loss: 0.177220  G_loss: 4.377947  loss_pixel: 0.0372  best_loss_pixel: 0.0404  
epoch: 34  D_loss: 0.129882  G_loss: 4.559412  loss_pixel: 0.0391  best_loss_pixel: 0.0404  
epoch: 35  D_loss: 0.144932  G_loss: 4.685174  loss_pixel: 0.0398  best_loss_pixel: 0.0404  
epoch: 36  D_loss: 0.110881  G_loss: 5.045887  loss_pixel: 0.0399  best_loss_pixel: 0.0404  
epoch: 37  D_loss: 0.179795  G_loss: 3.815714  loss_pixel: 0.0356  best_loss_pixel: 0.0404  
epoch: 38  D_loss: 0.526431  G_loss: 5.970891  loss_pixel: 0.0368  best_loss_pixel: 0.0404  
epoch: 39  D_loss: 0.162880  G_loss: 4.384738  loss_pixel: 0.0403  best_loss_pixel: 0.0404  
epoch: 40  D_loss: 0.079375  G_loss: 4.779674  loss_pixel: 0.0383  best_loss_pixel: 0.0404  
epoch: 41  D_loss: 0.071904  G_loss: 4.900563  loss_pixel: 0.0380  best_loss_pixel: 0.0404  
epoch: 42  D_loss: 0.160998  G_loss: 4.092796  loss_pixel: 0.0358  best_loss_pixel: 0.0404  
epoch: 43  D_loss: 0.367975  G_loss: 3.987324  loss_pixel: 0.0387  best_loss_pixel: 0.0404  
epoch: 44  D_loss: 0.045026  G_loss: 4.792606  loss_pixel: 0.0385  best_loss_pixel: 0.0404  
epoch: 45  D_loss: 0.056572  G_loss: 4.604063  loss_pixel: 0.0386  best_loss_pixel: 0.0404  
epoch: 46  D_loss: 0.125706  G_loss: 4.262236  loss_pixel: 0.0345  best_loss_pixel: 0.0404  
epoch: 47  D_loss: 0.326405  G_loss: 4.680067  loss_pixel: 0.0331  best_loss_pixel: 0.0404  
epoch: 48  D_loss: 0.254621  G_loss: 4.720120  loss_pixel: 0.0357  best_loss_pixel: 0.0404  
epoch: 49  D_loss: 0.152351  G_loss: 4.462265  loss_pixel: 0.0349  best_loss_pixel: 0.0380  
epoch: 50  D_loss: 0.349054  G_loss: 5.438860  loss_pixel: 0.0390  best_loss_pixel: 0.0380  
epoch: 51  D_loss: 0.060658  G_loss: 4.728729  loss_pixel: 0.0374  best_loss_pixel: 0.0380  
epoch: 52  D_loss: 0.112572  G_loss: 4.205664  loss_pixel: 0.0355  best_loss_pixel: 0.0380  
epoch: 53  D_loss: 0.148379  G_loss: 4.975763  loss_pixel: 0.0391  best_loss_pixel: 0.0380  
epoch: 54  D_loss: 0.129512  G_loss: 4.733664  loss_pixel: 0.0369  best_loss_pixel: 0.0380  
epoch: 55  D_loss: 0.650624  G_loss: 5.628232  loss_pixel: 0.0377  best_loss_pixel: 0.0380  
epoch: 56  D_loss: 0.080342  G_loss: 4.554303  loss_pixel: 0.0396  best_loss_pixel: 0.0380  
epoch: 57  D_loss: 0.406799  G_loss: 3.941149  loss_pixel: 0.0385  best_loss_pixel: 0.0380  
epoch: 58  D_loss: 0.089135  G_loss: 4.272826  loss_pixel: 0.0361  best_loss_pixel: 0.0380  
epoch: 59  D_loss: 0.090438  G_loss: 4.454599  loss_pixel: 0.0396  best_loss_pixel: 0.0380  
epoch: 60  D_loss: 0.125777  G_loss: 4.357342  loss_pixel: 0.0359  best_loss_pixel: 0.0380  
epoch: 61  D_loss: 0.106147  G_loss: 4.730384  loss_pixel: 0.0375  best_loss_pixel: 0.0380  
epoch: 62  D_loss: 0.103617  G_loss: 4.321987  loss_pixel: 0.0338  best_loss_pixel: 0.0380  
epoch: 63  D_loss: 0.146038  G_loss: 4.260006  loss_pixel: 0.0391  best_loss_pixel: 0.0380  
epoch: 64  D_loss: 0.156663  G_loss: 4.647358  loss_pixel: 0.0355  best_loss_pixel: 0.0380  
epoch: 65  D_loss: 0.042926  G_loss: 4.481401  loss_pixel: 0.0370  best_loss_pixel: 0.0380  
epoch: 66  D_loss: 0.259180  G_loss: 4.451139  loss_pixel: 0.0361  best_loss_pixel: 0.0380  
epoch: 67  D_loss: 0.037488  G_loss: 4.557268  loss_pixel: 0.0375  best_loss_pixel: 0.0380  
epoch: 68  D_loss: 0.188741  G_loss: 3.818494  loss_pixel: 0.0342  best_loss_pixel: 0.0380  
epoch: 69  D_loss: 0.382018  G_loss: 5.153012  loss_pixel: 0.0340  best_loss_pixel: 0.0380  
epoch: 70  D_loss: 0.091089  G_loss: 3.748059  loss_pixel: 0.0331  best_loss_pixel: 0.0380  
epoch: 71  D_loss: 0.171098  G_loss: 4.350926  loss_pixel: 0.0360  best_loss_pixel: 0.0380  
epoch: 72  D_loss: 0.138817  G_loss: 4.946081  loss_pixel: 0.0407  best_loss_pixel: 0.0380  
epoch: 73  D_loss: 0.199275  G_loss: 3.708326  loss_pixel: 0.0338  best_loss_pixel: 0.0380  
epoch: 74  D_loss: 0.295570  G_loss: 3.736356  loss_pixel: 0.0361  best_loss_pixel: 0.0380  
epoch: 75  D_loss: 0.195817  G_loss: 3.821628  loss_pixel: 0.0348  best_loss_pixel: 0.0380  
epoch: 76  D_loss: 0.137336  G_loss: 3.946548  loss_pixel: 0.0339  best_loss_pixel: 0.0380  
epoch: 77  D_loss: 0.071551  G_loss: 4.353854  loss_pixel: 0.0374  best_loss_pixel: 0.0380  
epoch: 78  D_loss: 0.133139  G_loss: 3.927127  loss_pixel: 0.0356  best_loss_pixel: 0.0380  
epoch: 79  D_loss: 0.079532  G_loss: 4.591600  loss_pixel: 0.0384  best_loss_pixel: 0.0380  
epoch: 80  D_loss: 0.111796  G_loss: 4.513628  loss_pixel: 0.0352  best_loss_pixel: 0.0380  
epoch: 81  D_loss: 0.089545  G_loss: 4.169667  loss_pixel: 0.0338  best_loss_pixel: 0.0380  
epoch: 82  D_loss: 0.287020  G_loss: 4.372659  loss_pixel: 0.0353  best_loss_pixel: 0.0380  
epoch: 83  D_loss: 0.088390  G_loss: 4.015124  loss_pixel: 0.0337  best_loss_pixel: 0.0380  
epoch: 84  D_loss: 0.148360  G_loss: 4.222753  loss_pixel: 0.0358  best_loss_pixel: 0.0380  
epoch: 85  D_loss: 0.172642  G_loss: 3.846199  loss_pixel: 0.0361  best_loss_pixel: 0.0380  
