epoch: 1  D_loss: 0.145433  G_loss: 62.452007  loss_pixel: 0.6107  best_loss_pixel: 0.5756  
epoch: 2  D_loss: 0.310957  G_loss: 42.170006  loss_pixel: 0.4046  best_loss_pixel: 0.3630  
epoch: 3  D_loss: 0.077108  G_loss: 23.093367  loss_pixel: 0.2130  best_loss_pixel: 0.1919  
epoch: 4  D_loss: 0.501485  G_loss: 9.791181  loss_pixel: 0.0907  best_loss_pixel: 0.0852  
epoch: 5  D_loss: 0.110423  G_loss: 5.420560  loss_pixel: 0.0390  best_loss_pixel: 0.0426  
epoch: 6  D_loss: 0.024230  G_loss: 5.558389  loss_pixel: 0.0365  best_loss_pixel: 0.0409  
epoch: 7  D_loss: 0.048491  G_loss: 5.151100  loss_pixel: 0.0361  best_loss_pixel: 0.0409  
epoch: 8  D_loss: 0.022281  G_loss: 5.992652  loss_pixel: 0.0421  best_loss_pixel: 0.0409  
epoch: 9  D_loss: 0.025690  G_loss: 5.976890  loss_pixel: 0.0438  best_loss_pixel: 0.0409  
epoch: 10  D_loss: 0.069543  G_loss: 6.271478  loss_pixel: 0.0441  best_loss_pixel: 0.0409  
epoch: 11  D_loss: 0.022042  G_loss: 5.759667  loss_pixel: 0.0398  best_loss_pixel: 0.0409  
epoch: 12  D_loss: 0.145508  G_loss: 5.023979  loss_pixel: 0.0391  best_loss_pixel: 0.0409  
epoch: 13  D_loss: 0.134277  G_loss: 5.375292  loss_pixel: 0.0385  best_loss_pixel: 0.0409  
epoch: 14  D_loss: 0.221344  G_loss: 4.717168  loss_pixel: 0.0337  best_loss_pixel: 0.0409  
epoch: 15  D_loss: 0.318992  G_loss: 4.605208  loss_pixel: 0.0356  best_loss_pixel: 0.0409  
epoch: 16  D_loss: 0.191190  G_loss: 4.621136  loss_pixel: 0.0341  best_loss_pixel: 0.0409  
epoch: 17  D_loss: 0.199812  G_loss: 5.285920  loss_pixel: 0.0412  best_loss_pixel: 0.0409  
epoch: 18  D_loss: 0.201197  G_loss: 4.448098  loss_pixel: 0.0330  best_loss_pixel: 0.0409  
epoch: 19  D_loss: 0.212415  G_loss: 4.444067  loss_pixel: 0.0337  best_loss_pixel: 0.0409  
epoch: 20  D_loss: 0.238649  G_loss: 5.014000  loss_pixel: 0.0379  best_loss_pixel: 0.0409  
epoch: 21  D_loss: 0.615516  G_loss: 5.813445  loss_pixel: 0.0391  best_loss_pixel: 0.0409  
epoch: 22  D_loss: 0.288205  G_loss: 5.527783  loss_pixel: 0.0370  best_loss_pixel: 0.0409  
epoch: 23  D_loss: 0.182813  G_loss: 4.859514  loss_pixel: 0.0345  best_loss_pixel: 0.0409  
epoch: 24  D_loss: 0.323056  G_loss: 5.089998  loss_pixel: 0.0333  best_loss_pixel: 0.0409  
epoch: 25  D_loss: 0.135209  G_loss: 4.903218  loss_pixel: 0.0354  best_loss_pixel: 0.0409  
epoch: 26  D_loss: 0.265848  G_loss: 5.240445  loss_pixel: 0.0367  best_loss_pixel: 0.0409  
epoch: 27  D_loss: 0.154598  G_loss: 4.961092  loss_pixel: 0.0360  best_loss_pixel: 0.0409  
epoch: 28  D_loss: 0.196748  G_loss: 5.061966  loss_pixel: 0.0361  best_loss_pixel: 0.0409  
epoch: 29  D_loss: 0.127762  G_loss: 4.887565  loss_pixel: 0.0366  best_loss_pixel: 0.0409  
epoch: 30  D_loss: 0.191218  G_loss: 4.773177  loss_pixel: 0.0344  best_loss_pixel: 0.0409  
epoch: 31  D_loss: 0.219471  G_loss: 4.990559  loss_pixel: 0.0330  best_loss_pixel: 0.0409  
epoch: 32  D_loss: 0.147210  G_loss: 4.958905  loss_pixel: 0.0362  best_loss_pixel: 0.0409  
epoch: 33  D_loss: 0.173273  G_loss: 4.795209  loss_pixel: 0.0359  best_loss_pixel: 0.0409  
epoch: 34  D_loss: 0.210057  G_loss: 4.564437  loss_pixel: 0.0327  best_loss_pixel: 0.0409  
epoch: 35  D_loss: 0.318804  G_loss: 4.846406  loss_pixel: 0.0332  best_loss_pixel: 0.0409  
epoch: 36  D_loss: 0.208479  G_loss: 4.696856  loss_pixel: 0.0330  best_loss_pixel: 0.0409  
