epoch: 1  D_loss: 0.144472  G_loss: 72.893143  loss_pixel: 0.7176  best_loss_pixel: 0.6910  
epoch: 2  D_loss: 0.096928  G_loss: 54.283398  loss_pixel: 0.5319  best_loss_pixel: 0.4926  
epoch: 3  D_loss: 0.122453  G_loss: 34.046555  loss_pixel: 0.3260  best_loss_pixel: 0.2833  
epoch: 4  D_loss: 0.064467  G_loss: 13.141912  loss_pixel: 0.1239  best_loss_pixel: 0.1006  
epoch: 5  D_loss: 0.325008  G_loss: 4.346791  loss_pixel: 0.0402  best_loss_pixel: 0.0718  
epoch: 6  D_loss: 0.261523  G_loss: 3.915657  loss_pixel: 0.0368  best_loss_pixel: 0.0439  
epoch: 7  D_loss: 0.243327  G_loss: 3.954132  loss_pixel: 0.0369  best_loss_pixel: 0.0439  
epoch: 8  D_loss: 0.298703  G_loss: 4.281816  loss_pixel: 0.0376  best_loss_pixel: 0.0439  
epoch: 9  D_loss: 0.274282  G_loss: 3.759130  loss_pixel: 0.0354  best_loss_pixel: 0.0439  
epoch: 10  D_loss: 0.132718  G_loss: 4.348839  loss_pixel: 0.0380  best_loss_pixel: 0.0439  
epoch: 11  D_loss: 0.252941  G_loss: 4.224697  loss_pixel: 0.0393  best_loss_pixel: 0.0439  
epoch: 12  D_loss: 0.419964  G_loss: 4.674735  loss_pixel: 0.0377  best_loss_pixel: 0.0439  
epoch: 13  D_loss: 0.182061  G_loss: 4.430083  loss_pixel: 0.0368  best_loss_pixel: 0.0439  
epoch: 14  D_loss: 0.159128  G_loss: 4.268263  loss_pixel: 0.0389  best_loss_pixel: 0.0439  
epoch: 15  D_loss: 0.164560  G_loss: 4.329792  loss_pixel: 0.0371  best_loss_pixel: 0.0439  
epoch: 16  D_loss: 0.133535  G_loss: 5.051109  loss_pixel: 0.0468  best_loss_pixel: 0.0439  
epoch: 17  D_loss: 0.202132  G_loss: 4.168581  loss_pixel: 0.0374  best_loss_pixel: 0.0439  
epoch: 18  D_loss: 0.115956  G_loss: 4.316721  loss_pixel: 0.0377  best_loss_pixel: 0.0439  
epoch: 19  D_loss: 0.348856  G_loss: 4.130570  loss_pixel: 0.0319  best_loss_pixel: 0.0439  
epoch: 20  D_loss: 0.128286  G_loss: 4.224520  loss_pixel: 0.0381  best_loss_pixel: 0.0439  
epoch: 21  D_loss: 0.211273  G_loss: 3.964751  loss_pixel: 0.0367  best_loss_pixel: 0.0439  
epoch: 22  D_loss: 0.222755  G_loss: 4.018604  loss_pixel: 0.0368  best_loss_pixel: 0.0439  
epoch: 23  D_loss: 0.191527  G_loss: 4.207855  loss_pixel: 0.0371  best_loss_pixel: 0.0439  
epoch: 24  D_loss: 0.151309  G_loss: 4.047896  loss_pixel: 0.0356  best_loss_pixel: 0.0439  
epoch: 25  D_loss: 0.257300  G_loss: 3.903606  loss_pixel: 0.0371  best_loss_pixel: 0.0399  
epoch: 26  D_loss: 0.476788  G_loss: 4.406083  loss_pixel: 0.0334  best_loss_pixel: 0.0399  
epoch: 27  D_loss: 0.216967  G_loss: 4.101763  loss_pixel: 0.0365  best_loss_pixel: 0.0399  
epoch: 28  D_loss: 0.282803  G_loss: 3.671701  loss_pixel: 0.0340  best_loss_pixel: 0.0399  
epoch: 29  D_loss: 0.247928  G_loss: 5.010262  loss_pixel: 0.0438  best_loss_pixel: 0.0399  
epoch: 30  D_loss: 0.174759  G_loss: 3.997969  loss_pixel: 0.0372  best_loss_pixel: 0.0399  
epoch: 31  D_loss: 0.204903  G_loss: 3.902252  loss_pixel: 0.0346  best_loss_pixel: 0.0399  
epoch: 32  D_loss: 0.240211  G_loss: 3.707897  loss_pixel: 0.0340  best_loss_pixel: 0.0399  
epoch: 33  D_loss: 0.162499  G_loss: 4.122552  loss_pixel: 0.0371  best_loss_pixel: 0.0399  
epoch: 34  D_loss: 0.189687  G_loss: 3.779315  loss_pixel: 0.0342  best_loss_pixel: 0.0399  
epoch: 35  D_loss: 0.112776  G_loss: 4.719928  loss_pixel: 0.0401  best_loss_pixel: 0.0399  
epoch: 36  D_loss: 0.180420  G_loss: 4.080041  loss_pixel: 0.0336  best_loss_pixel: 0.0399  
