epoch: 1  D_loss: 0.179970  G_loss: 69.138344  loss_pixel: 0.6800  best_loss_pixel: 0.6330  
epoch: 2  D_loss: 0.063599  G_loss: 52.093487  loss_pixel: 0.5100  best_loss_pixel: 0.4719  
epoch: 3  D_loss: 0.034908  G_loss: 33.121941  loss_pixel: 0.3214  best_loss_pixel: 0.2915  
epoch: 4  D_loss: 0.534912  G_loss: 14.816445  loss_pixel: 0.1307  best_loss_pixel: 0.1529  
epoch: 5  D_loss: 0.256920  G_loss: 4.069217  loss_pixel: 0.0383  best_loss_pixel: 0.0491  
epoch: 6  D_loss: 0.252545  G_loss: 4.124541  loss_pixel: 0.0383  best_loss_pixel: 0.0483  
epoch: 7  D_loss: 0.205884  G_loss: 4.599000  loss_pixel: 0.0424  best_loss_pixel: 0.0470  
epoch: 8  D_loss: 0.215670  G_loss: 4.001983  loss_pixel: 0.0343  best_loss_pixel: 0.0470  
epoch: 9  D_loss: 0.197578  G_loss: 4.118004  loss_pixel: 0.0357  best_loss_pixel: 0.0470  
epoch: 10  D_loss: 0.153091  G_loss: 4.372668  loss_pixel: 0.0379  best_loss_pixel: 0.0470  
epoch: 11  D_loss: 0.247431  G_loss: 4.735877  loss_pixel: 0.0454  best_loss_pixel: 0.0470  
epoch: 12  D_loss: 0.220781  G_loss: 4.312895  loss_pixel: 0.0371  best_loss_pixel: 0.0470  
epoch: 13  D_loss: 0.222655  G_loss: 4.632510  loss_pixel: 0.0379  best_loss_pixel: 0.0470  
epoch: 14  D_loss: 0.177698  G_loss: 4.306401  loss_pixel: 0.0401  best_loss_pixel: 0.0436  
epoch: 15  D_loss: 0.170343  G_loss: 3.964599  loss_pixel: 0.0374  best_loss_pixel: 0.0436  
epoch: 16  D_loss: 0.193164  G_loss: 3.676646  loss_pixel: 0.0339  best_loss_pixel: 0.0436  
epoch: 17  D_loss: 0.215127  G_loss: 4.614813  loss_pixel: 0.0425  best_loss_pixel: 0.0436  
epoch: 18  D_loss: 0.214086  G_loss: 3.765994  loss_pixel: 0.0349  best_loss_pixel: 0.0436  
epoch: 19  D_loss: 0.228159  G_loss: 4.245221  loss_pixel: 0.0339  best_loss_pixel: 0.0436  
epoch: 20  D_loss: 0.269849  G_loss: 3.864062  loss_pixel: 0.0355  best_loss_pixel: 0.0436  
epoch: 21  D_loss: 0.156021  G_loss: 4.370561  loss_pixel: 0.0369  best_loss_pixel: 0.0390  
epoch: 22  D_loss: 0.307916  G_loss: 4.146573  loss_pixel: 0.0340  best_loss_pixel: 0.0390  
epoch: 23  D_loss: 0.171174  G_loss: 3.944570  loss_pixel: 0.0351  best_loss_pixel: 0.0390  
epoch: 24  D_loss: 0.107491  G_loss: 4.190246  loss_pixel: 0.0376  best_loss_pixel: 0.0390  
epoch: 25  D_loss: 0.259086  G_loss: 4.527992  loss_pixel: 0.0436  best_loss_pixel: 0.0390  
epoch: 26  D_loss: 0.139547  G_loss: 4.593946  loss_pixel: 0.0417  best_loss_pixel: 0.0390  
epoch: 27  D_loss: 0.175672  G_loss: 4.576603  loss_pixel: 0.0407  best_loss_pixel: 0.0390  
epoch: 28  D_loss: 0.199354  G_loss: 3.983967  loss_pixel: 0.0330  best_loss_pixel: 0.0390  
epoch: 29  D_loss: 0.232999  G_loss: 3.878107  loss_pixel: 0.0360  best_loss_pixel: 0.0390  
epoch: 30  D_loss: 0.180426  G_loss: 4.375587  loss_pixel: 0.0407  best_loss_pixel: 0.0390  
epoch: 31  D_loss: 0.123173  G_loss: 4.129067  loss_pixel: 0.0370  best_loss_pixel: 0.0390  
epoch: 32  D_loss: 0.198671  G_loss: 4.091568  loss_pixel: 0.0363  best_loss_pixel: 0.0390  
epoch: 33  D_loss: 0.202340  G_loss: 3.912314  loss_pixel: 0.0361  best_loss_pixel: 0.0390  
epoch: 34  D_loss: 0.206833  G_loss: 3.418577  loss_pixel: 0.0314  best_loss_pixel: 0.0390  
epoch: 35  D_loss: 0.234753  G_loss: 3.534562  loss_pixel: 0.0314  best_loss_pixel: 0.0390  
epoch: 36  D_loss: 0.264360  G_loss: 4.505393  loss_pixel: 0.0391  best_loss_pixel: 0.0390  
epoch: 37  D_loss: 0.079954  G_loss: 4.709331  loss_pixel: 0.0422  best_loss_pixel: 0.0390  
epoch: 38  D_loss: 0.176734  G_loss: 3.596314  loss_pixel: 0.0326  best_loss_pixel: 0.0390  
epoch: 39  D_loss: 0.171268  G_loss: 3.648417  loss_pixel: 0.0328  best_loss_pixel: 0.0390  
