epoch: 1  D_loss: 0.053171  G_loss: 64.595268  loss_pixel: 0.6360  best_loss_pixel: 0.6612  
epoch: 2  D_loss: 0.025922  G_loss: 62.040291  loss_pixel: 0.6101  best_loss_pixel: 0.6260  
epoch: 3  D_loss: 0.069814  G_loss: 60.666580  loss_pixel: 0.5961  best_loss_pixel: 0.5998  
epoch: 4  D_loss: 0.011285  G_loss: 58.761662  loss_pixel: 0.5777  best_loss_pixel: 0.5931  
epoch: 5  D_loss: 0.006029  G_loss: 57.185555  loss_pixel: 0.5620  best_loss_pixel: 0.5707  
epoch: 6  D_loss: 0.022160  G_loss: 55.349068  loss_pixel: 0.5440  best_loss_pixel: 0.5529  
epoch: 7  D_loss: 0.012254  G_loss: 53.798950  loss_pixel: 0.5269  best_loss_pixel: 0.5394  
epoch: 8  D_loss: 0.005600  G_loss: 51.203403  loss_pixel: 0.5024  best_loss_pixel: 0.5232  
epoch: 9  D_loss: 0.007250  G_loss: 50.227730  loss_pixel: 0.4934  best_loss_pixel: 0.5083  
epoch: 10  D_loss: 0.003298  G_loss: 47.797451  loss_pixel: 0.4674  best_loss_pixel: 0.4834  
epoch: 11  D_loss: 0.007186  G_loss: 46.062294  loss_pixel: 0.4510  best_loss_pixel: 0.4622  
epoch: 12  D_loss: 0.016903  G_loss: 45.175072  loss_pixel: 0.4410  best_loss_pixel: 0.4583  
epoch: 13  D_loss: 0.020385  G_loss: 42.879929  loss_pixel: 0.4178  best_loss_pixel: 0.4336  
epoch: 14  D_loss: 0.012364  G_loss: 41.227848  loss_pixel: 0.4026  best_loss_pixel: 0.4218  
epoch: 15  D_loss: 0.008346  G_loss: 42.334297  loss_pixel: 0.4127  best_loss_pixel: 0.4085  
epoch: 16  D_loss: 0.002000  G_loss: 39.230202  loss_pixel: 0.3820  best_loss_pixel: 0.3906  
epoch: 17  D_loss: 0.010427  G_loss: 38.079594  loss_pixel: 0.3704  best_loss_pixel: 0.3775  
epoch: 18  D_loss: 0.003742  G_loss: 36.668644  loss_pixel: 0.3567  best_loss_pixel: 0.3775  
epoch: 19  D_loss: 0.033603  G_loss: 34.867908  loss_pixel: 0.3378  best_loss_pixel: 0.3611  
epoch: 20  D_loss: 0.030267  G_loss: 34.392372  loss_pixel: 0.3334  best_loss_pixel: 0.3432  
epoch: 21  D_loss: 0.002479  G_loss: 32.845650  loss_pixel: 0.3186  best_loss_pixel: 0.3349  
epoch: 22  D_loss: 0.001560  G_loss: 31.904728  loss_pixel: 0.3088  best_loss_pixel: 0.3271  
epoch: 23  D_loss: 0.002300  G_loss: 30.808598  loss_pixel: 0.2985  best_loss_pixel: 0.3036  
epoch: 24  D_loss: 0.006746  G_loss: 28.796843  loss_pixel: 0.2780  best_loss_pixel: 0.3036  
epoch: 25  D_loss: 0.005469  G_loss: 28.463486  loss_pixel: 0.2750  best_loss_pixel: 0.2779  
epoch: 26  D_loss: 0.021046  G_loss: 27.377203  loss_pixel: 0.2632  best_loss_pixel: 0.2778  
epoch: 27  D_loss: 0.072591  G_loss: 25.696585  loss_pixel: 0.2471  best_loss_pixel: 0.2645  
epoch: 28  D_loss: 0.006115  G_loss: 25.093815  loss_pixel: 0.2406  best_loss_pixel: 0.2619  
epoch: 29  D_loss: 0.049832  G_loss: 22.850792  loss_pixel: 0.2177  best_loss_pixel: 0.2427  
epoch: 30  D_loss: 0.001939  G_loss: 22.785324  loss_pixel: 0.2179  best_loss_pixel: 0.2338  
epoch: 31  D_loss: 0.009053  G_loss: 22.706577  loss_pixel: 0.2167  best_loss_pixel: 0.2249  
epoch: 32  D_loss: 0.018592  G_loss: 21.607735  loss_pixel: 0.2060  best_loss_pixel: 0.2127  
epoch: 33  D_loss: 0.001182  G_loss: 20.819859  loss_pixel: 0.1982  best_loss_pixel: 0.2127  
epoch: 34  D_loss: 0.008347  G_loss: 19.738937  loss_pixel: 0.1871  best_loss_pixel: 0.2046  
epoch: 35  D_loss: 0.001361  G_loss: 18.414740  loss_pixel: 0.1740  best_loss_pixel: 0.1905  
epoch: 36  D_loss: 0.004077  G_loss: 18.364475  loss_pixel: 0.1734  best_loss_pixel: 0.1848  
epoch: 37  D_loss: 0.039177  G_loss: 18.305758  loss_pixel: 0.1729  best_loss_pixel: 0.1830  
epoch: 38  D_loss: 0.010512  G_loss: 15.545179  loss_pixel: 0.1457  best_loss_pixel: 0.1703  
epoch: 39  D_loss: 0.022321  G_loss: 15.681173  loss_pixel: 0.1464  best_loss_pixel: 0.1646  
epoch: 40  D_loss: 0.002545  G_loss: 14.648638  loss_pixel: 0.1363  best_loss_pixel: 0.1572  
epoch: 41  D_loss: 0.086455  G_loss: 14.011221  loss_pixel: 0.1293  best_loss_pixel: 0.1500  
epoch: 42  D_loss: 0.000584  G_loss: 13.902540  loss_pixel: 0.1289  best_loss_pixel: 0.1327  
epoch: 43  D_loss: 0.001185  G_loss: 12.359076  loss_pixel: 0.1139  best_loss_pixel: 0.1327  
epoch: 44  D_loss: 0.003537  G_loss: 12.078691  loss_pixel: 0.1111  best_loss_pixel: 0.1255  
epoch: 45  D_loss: 0.000839  G_loss: 11.722784  loss_pixel: 0.1071  best_loss_pixel: 0.1249  
epoch: 46  D_loss: 0.014188  G_loss: 12.518132  loss_pixel: 0.1147  best_loss_pixel: 0.1063  
epoch: 47  D_loss: 0.001848  G_loss: 11.210882  loss_pixel: 0.1023  best_loss_pixel: 0.1063  
epoch: 48  D_loss: 0.003623  G_loss: 10.050153  loss_pixel: 0.0907  best_loss_pixel: 0.1053  
epoch: 49  D_loss: 0.004406  G_loss: 10.151344  loss_pixel: 0.0910  best_loss_pixel: 0.0924  
epoch: 50  D_loss: 0.000762  G_loss: 9.906322  loss_pixel: 0.0890  best_loss_pixel: 0.0924  
epoch: 51  D_loss: 0.000880  G_loss: 8.349289  loss_pixel: 0.0735  best_loss_pixel: 0.0884  
epoch: 52  D_loss: 0.007361  G_loss: 9.110833  loss_pixel: 0.0811  best_loss_pixel: 0.0808  
epoch: 53  D_loss: 0.000779  G_loss: 7.973789  loss_pixel: 0.0698  best_loss_pixel: 0.0808  
epoch: 54  D_loss: 0.013152  G_loss: 8.377751  loss_pixel: 0.0739  best_loss_pixel: 0.0756  
epoch: 55  D_loss: 0.002807  G_loss: 6.980810  loss_pixel: 0.0599  best_loss_pixel: 0.0756  
epoch: 56  D_loss: 0.005879  G_loss: 7.183574  loss_pixel: 0.0621  best_loss_pixel: 0.0714  
epoch: 57  D_loss: 0.006993  G_loss: 6.599266  loss_pixel: 0.0564  best_loss_pixel: 0.0707  
epoch: 58  D_loss: 0.002702  G_loss: 6.927490  loss_pixel: 0.0594  best_loss_pixel: 0.0660  
epoch: 59  D_loss: 0.002918  G_loss: 7.000176  loss_pixel: 0.0599  best_loss_pixel: 0.0615  
epoch: 60  D_loss: 0.005243  G_loss: 6.569213  loss_pixel: 0.0552  best_loss_pixel: 0.0539  
epoch: 61  D_loss: 0.004538  G_loss: 6.334605  loss_pixel: 0.0545  best_loss_pixel: 0.0539  
epoch: 62  D_loss: 0.002651  G_loss: 6.128036  loss_pixel: 0.0514  best_loss_pixel: 0.0539  
epoch: 63  D_loss: 0.002147  G_loss: 5.318327  loss_pixel: 0.0439  best_loss_pixel: 0.0502  
epoch: 64  D_loss: 0.003439  G_loss: 6.078815  loss_pixel: 0.0510  best_loss_pixel: 0.0502  
epoch: 65  D_loss: 0.001496  G_loss: 5.799452  loss_pixel: 0.0479  best_loss_pixel: 0.0502  
epoch: 66  D_loss: 0.002417  G_loss: 5.246204  loss_pixel: 0.0430  best_loss_pixel: 0.0489  
epoch: 67  D_loss: 0.003437  G_loss: 4.811470  loss_pixel: 0.0394  best_loss_pixel: 0.0455  
epoch: 68  D_loss: 0.002099  G_loss: 5.058972  loss_pixel: 0.0407  best_loss_pixel: 0.0455  
epoch: 69  D_loss: 0.001150  G_loss: 4.828055  loss_pixel: 0.0379  best_loss_pixel: 0.0455  
epoch: 70  D_loss: 0.002304  G_loss: 5.209129  loss_pixel: 0.0421  best_loss_pixel: 0.0400  
epoch: 71  D_loss: 0.003079  G_loss: 4.744226  loss_pixel: 0.0370  best_loss_pixel: 0.0400  
epoch: 72  D_loss: 0.001189  G_loss: 4.464284  loss_pixel: 0.0350  best_loss_pixel: 0.0400  
epoch: 73  D_loss: 0.001379  G_loss: 4.505414  loss_pixel: 0.0352  best_loss_pixel: 0.0395  
epoch: 74  D_loss: 0.005571  G_loss: 4.628901  loss_pixel: 0.0372  best_loss_pixel: 0.0395  
epoch: 75  D_loss: 0.000691  G_loss: 4.706155  loss_pixel: 0.0369  best_loss_pixel: 0.0395  
epoch: 76  D_loss: 0.011682  G_loss: 4.710200  loss_pixel: 0.0371  best_loss_pixel: 0.0395  
epoch: 77  D_loss: 0.002729  G_loss: 4.922751  loss_pixel: 0.0393  best_loss_pixel: 0.0376  
epoch: 78  D_loss: 0.010127  G_loss: 5.212304  loss_pixel: 0.0440  best_loss_pixel: 0.0376  
epoch: 79  D_loss: 0.043903  G_loss: 7.242270  loss_pixel: 0.0613  best_loss_pixel: 0.0376  
epoch: 80  D_loss: 0.010924  G_loss: 5.161715  loss_pixel: 0.0394  best_loss_pixel: 0.0376  
epoch: 81  D_loss: 0.001258  G_loss: 4.493623  loss_pixel: 0.0347  best_loss_pixel: 0.0376  
epoch: 82  D_loss: 0.020463  G_loss: 4.749506  loss_pixel: 0.0350  best_loss_pixel: 0.0376  
epoch: 83  D_loss: 0.114631  G_loss: 4.256154  loss_pixel: 0.0384  best_loss_pixel: 0.0362  
