epoch: 1  D_loss: 0.122575  G_loss: 45.892830  loss_pixel: 0.4473  best_loss_pixel: 0.4598  
epoch: 2  D_loss: 0.190241  G_loss: 44.926460  loss_pixel: 0.4379  best_loss_pixel: 0.4463  
epoch: 3  D_loss: 0.041804  G_loss: 44.136879  loss_pixel: 0.4312  best_loss_pixel: 0.4182  
epoch: 4  D_loss: 0.023464  G_loss: 43.993687  loss_pixel: 0.4289  best_loss_pixel: 0.4182  
epoch: 5  D_loss: 0.019217  G_loss: 41.996532  loss_pixel: 0.4097  best_loss_pixel: 0.4182  
epoch: 6  D_loss: 0.018507  G_loss: 42.196960  loss_pixel: 0.4119  best_loss_pixel: 0.3997  
epoch: 7  D_loss: 0.010323  G_loss: 41.149021  loss_pixel: 0.4016  best_loss_pixel: 0.3997  
epoch: 8  D_loss: 0.011455  G_loss: 40.434807  loss_pixel: 0.3946  best_loss_pixel: 0.3997  
epoch: 9  D_loss: 0.010067  G_loss: 39.652431  loss_pixel: 0.3868  best_loss_pixel: 0.3929  
epoch: 10  D_loss: 0.007959  G_loss: 38.681721  loss_pixel: 0.3770  best_loss_pixel: 0.3724  
epoch: 11  D_loss: 0.007557  G_loss: 37.688931  loss_pixel: 0.3667  best_loss_pixel: 0.3724  
epoch: 12  D_loss: 0.017792  G_loss: 38.325172  loss_pixel: 0.3728  best_loss_pixel: 0.3710  
epoch: 13  D_loss: 0.010537  G_loss: 37.260880  loss_pixel: 0.3621  best_loss_pixel: 0.3583  
epoch: 14  D_loss: 0.005790  G_loss: 37.383205  loss_pixel: 0.3634  best_loss_pixel: 0.3583  
epoch: 15  D_loss: 0.008714  G_loss: 36.100277  loss_pixel: 0.3512  best_loss_pixel: 0.3515  
epoch: 16  D_loss: 0.005172  G_loss: 34.758007  loss_pixel: 0.3376  best_loss_pixel: 0.3515  
epoch: 17  D_loss: 0.005348  G_loss: 34.374870  loss_pixel: 0.3340  best_loss_pixel: 0.3462  
epoch: 18  D_loss: 0.020362  G_loss: 34.452518  loss_pixel: 0.3340  best_loss_pixel: 0.3402  
epoch: 19  D_loss: 0.010201  G_loss: 33.491749  loss_pixel: 0.3242  best_loss_pixel: 0.3299  
epoch: 20  D_loss: 0.007885  G_loss: 32.268944  loss_pixel: 0.3126  best_loss_pixel: 0.3299  
epoch: 21  D_loss: 0.007996  G_loss: 32.369137  loss_pixel: 0.3138  best_loss_pixel: 0.3283  
epoch: 22  D_loss: 0.028255  G_loss: 33.714436  loss_pixel: 0.3256  best_loss_pixel: 0.3283  
epoch: 23  D_loss: 0.006601  G_loss: 31.986551  loss_pixel: 0.3108  best_loss_pixel: 0.3235  
epoch: 24  D_loss: 0.003026  G_loss: 30.526766  loss_pixel: 0.2951  best_loss_pixel: 0.3084  
epoch: 25  D_loss: 0.006412  G_loss: 30.574921  loss_pixel: 0.2952  best_loss_pixel: 0.3015  
epoch: 26  D_loss: 0.008767  G_loss: 29.634466  loss_pixel: 0.2857  best_loss_pixel: 0.3015  
epoch: 27  D_loss: 0.003832  G_loss: 28.959576  loss_pixel: 0.2800  best_loss_pixel: 0.2770  
epoch: 28  D_loss: 0.004721  G_loss: 29.275787  loss_pixel: 0.2822  best_loss_pixel: 0.2770  
epoch: 29  D_loss: 0.012132  G_loss: 28.105221  loss_pixel: 0.2701  best_loss_pixel: 0.2717  
epoch: 30  D_loss: 0.003326  G_loss: 27.200361  loss_pixel: 0.2624  best_loss_pixel: 0.2609  
epoch: 31  D_loss: 0.009885  G_loss: 27.476553  loss_pixel: 0.2648  best_loss_pixel: 0.2609  
epoch: 32  D_loss: 0.004625  G_loss: 27.216351  loss_pixel: 0.2622  best_loss_pixel: 0.2607  
epoch: 33  D_loss: 0.003069  G_loss: 25.245857  loss_pixel: 0.2430  best_loss_pixel: 0.2520  
epoch: 34  D_loss: 0.003951  G_loss: 25.395683  loss_pixel: 0.2438  best_loss_pixel: 0.2513  
epoch: 35  D_loss: 0.003359  G_loss: 24.979155  loss_pixel: 0.2398  best_loss_pixel: 0.2486  
epoch: 36  D_loss: 0.016004  G_loss: 24.335350  loss_pixel: 0.2336  best_loss_pixel: 0.2486  
epoch: 37  D_loss: 0.005631  G_loss: 23.891249  loss_pixel: 0.2295  best_loss_pixel: 0.2283  
epoch: 38  D_loss: 0.007104  G_loss: 23.943398  loss_pixel: 0.2291  best_loss_pixel: 0.2282  
epoch: 39  D_loss: 0.003797  G_loss: 23.638836  loss_pixel: 0.2270  best_loss_pixel: 0.2240  
epoch: 40  D_loss: 0.006056  G_loss: 23.352129  loss_pixel: 0.2235  best_loss_pixel: 0.2240  
epoch: 41  D_loss: 0.002695  G_loss: 22.057259  loss_pixel: 0.2110  best_loss_pixel: 0.2240  
epoch: 42  D_loss: 0.002026  G_loss: 21.667896  loss_pixel: 0.2067  best_loss_pixel: 0.2192  
epoch: 43  D_loss: 0.063364  G_loss: 21.481424  loss_pixel: 0.2042  best_loss_pixel: 0.2163  
epoch: 44  D_loss: 0.002439  G_loss: 21.759092  loss_pixel: 0.2083  best_loss_pixel: 0.2125  
epoch: 45  D_loss: 0.029966  G_loss: 20.279522  loss_pixel: 0.1926  best_loss_pixel: 0.2047  
epoch: 46  D_loss: 0.002033  G_loss: 20.282492  loss_pixel: 0.1930  best_loss_pixel: 0.1929  
epoch: 47  D_loss: 0.011395  G_loss: 20.030252  loss_pixel: 0.1897  best_loss_pixel: 0.1911  
epoch: 48  D_loss: 0.002614  G_loss: 19.085661  loss_pixel: 0.1807  best_loss_pixel: 0.1865  
epoch: 49  D_loss: 0.002986  G_loss: 19.299454  loss_pixel: 0.1824  best_loss_pixel: 0.1778  
epoch: 50  D_loss: 0.003026  G_loss: 18.975698  loss_pixel: 0.1791  best_loss_pixel: 0.1778  
epoch: 51  D_loss: 0.009433  G_loss: 19.312302  loss_pixel: 0.1828  best_loss_pixel: 0.1778  
epoch: 52  D_loss: 0.003337  G_loss: 18.170073  loss_pixel: 0.1715  best_loss_pixel: 0.1765  
epoch: 53  D_loss: 0.001820  G_loss: 17.131382  loss_pixel: 0.1618  best_loss_pixel: 0.1731  
epoch: 54  D_loss: 0.007809  G_loss: 17.793245  loss_pixel: 0.1679  best_loss_pixel: 0.1634  
epoch: 55  D_loss: 0.002441  G_loss: 17.415173  loss_pixel: 0.1647  best_loss_pixel: 0.1634  
epoch: 56  D_loss: 0.001153  G_loss: 15.920314  loss_pixel: 0.1492  best_loss_pixel: 0.1634  
epoch: 57  D_loss: 0.003957  G_loss: 16.093060  loss_pixel: 0.1507  best_loss_pixel: 0.1418  
epoch: 58  D_loss: 0.001577  G_loss: 15.552592  loss_pixel: 0.1454  best_loss_pixel: 0.1418  
epoch: 59  D_loss: 0.003816  G_loss: 15.759871  loss_pixel: 0.1471  best_loss_pixel: 0.1418  
epoch: 60  D_loss: 0.002386  G_loss: 14.721118  loss_pixel: 0.1375  best_loss_pixel: 0.1418  
epoch: 61  D_loss: 0.005342  G_loss: 14.719254  loss_pixel: 0.1363  best_loss_pixel: 0.1418  
epoch: 62  D_loss: 0.012305  G_loss: 14.099252  loss_pixel: 0.1304  best_loss_pixel: 0.1418  
epoch: 63  D_loss: 0.003856  G_loss: 14.080800  loss_pixel: 0.1304  best_loss_pixel: 0.1418  
epoch: 64  D_loss: 0.011388  G_loss: 14.389240  loss_pixel: 0.1334  best_loss_pixel: 0.1289  
epoch: 65  D_loss: 0.005546  G_loss: 14.918402  loss_pixel: 0.1390  best_loss_pixel: 0.1289  
epoch: 66  D_loss: 0.005236  G_loss: 14.565851  loss_pixel: 0.1354  best_loss_pixel: 0.1289  
epoch: 67  D_loss: 0.001984  G_loss: 13.759176  loss_pixel: 0.1283  best_loss_pixel: 0.1289  
epoch: 68  D_loss: 0.002858  G_loss: 13.538232  loss_pixel: 0.1261  best_loss_pixel: 0.1262  
epoch: 69  D_loss: 0.004091  G_loss: 13.199739  loss_pixel: 0.1216  best_loss_pixel: 0.1229  
epoch: 70  D_loss: 0.001231  G_loss: 13.043388  loss_pixel: 0.1208  best_loss_pixel: 0.1229  
epoch: 71  D_loss: 0.002266  G_loss: 11.988153  loss_pixel: 0.1097  best_loss_pixel: 0.1216  
epoch: 72  D_loss: 0.001130  G_loss: 12.793733  loss_pixel: 0.1179  best_loss_pixel: 0.1216  
epoch: 73  D_loss: 0.006375  G_loss: 12.198993  loss_pixel: 0.1124  best_loss_pixel: 0.1216  
epoch: 74  D_loss: 0.000985  G_loss: 12.105069  loss_pixel: 0.1107  best_loss_pixel: 0.1130  
epoch: 75  D_loss: 0.002826  G_loss: 11.269286  loss_pixel: 0.1017  best_loss_pixel: 0.1041  
epoch: 76  D_loss: 0.001240  G_loss: 10.731748  loss_pixel: 0.0971  best_loss_pixel: 0.1005  
epoch: 77  D_loss: 0.003804  G_loss: 10.980487  loss_pixel: 0.0984  best_loss_pixel: 0.1005  
epoch: 78  D_loss: 0.007978  G_loss: 10.231001  loss_pixel: 0.0927  best_loss_pixel: 0.1005  
epoch: 79  D_loss: 0.001411  G_loss: 10.238535  loss_pixel: 0.0917  best_loss_pixel: 0.1005  
