epoch: 1  D_loss: 0.353927  G_loss: 4.797848  loss_pixel: 0.0446  best_loss_pixel: 0.0513  
epoch: 2  D_loss: 0.304135  G_loss: 4.068334  loss_pixel: 0.0375  best_loss_pixel: 0.0492  
epoch: 3  D_loss: 0.259075  G_loss: 3.937331  loss_pixel: 0.0363  best_loss_pixel: 0.0404  
epoch: 4  D_loss: 0.261193  G_loss: 3.879707  loss_pixel: 0.0360  best_loss_pixel: 0.0404  
epoch: 5  D_loss: 0.224273  G_loss: 4.107484  loss_pixel: 0.0377  best_loss_pixel: 0.0404  
epoch: 6  D_loss: 0.249357  G_loss: 3.917491  loss_pixel: 0.0329  best_loss_pixel: 0.0395  
epoch: 7  D_loss: 0.303573  G_loss: 4.029585  loss_pixel: 0.0327  best_loss_pixel: 0.0395  
epoch: 8  D_loss: 0.196179  G_loss: 4.009898  loss_pixel: 0.0366  best_loss_pixel: 0.0359  
epoch: 9  D_loss: 0.214270  G_loss: 4.036695  loss_pixel: 0.0365  best_loss_pixel: 0.0359  
epoch: 10  D_loss: 0.218086  G_loss: 4.028068  loss_pixel: 0.0364  best_loss_pixel: 0.0359  
epoch: 11  D_loss: 0.324764  G_loss: 3.627147  loss_pixel: 0.0343  best_loss_pixel: 0.0359  
epoch: 12  D_loss: 0.321327  G_loss: 4.012087  loss_pixel: 0.0348  best_loss_pixel: 0.0359  
epoch: 13  D_loss: 0.148709  G_loss: 4.060380  loss_pixel: 0.0367  best_loss_pixel: 0.0359  
epoch: 14  D_loss: 0.437898  G_loss: 4.201288  loss_pixel: 0.0340  best_loss_pixel: 0.0359  
epoch: 15  D_loss: 0.223109  G_loss: 3.875244  loss_pixel: 0.0358  best_loss_pixel: 0.0331  
epoch: 16  D_loss: 0.266009  G_loss: 3.548092  loss_pixel: 0.0343  best_loss_pixel: 0.0331  
epoch: 17  D_loss: 0.230677  G_loss: 3.432641  loss_pixel: 0.0326  best_loss_pixel: 0.0331  
epoch: 18  D_loss: 0.189743  G_loss: 3.509848  loss_pixel: 0.0322  best_loss_pixel: 0.0331  
epoch: 19  D_loss: 0.205964  G_loss: 4.140436  loss_pixel: 0.0339  best_loss_pixel: 0.0331  
epoch: 20  D_loss: 0.207074  G_loss: 3.534439  loss_pixel: 0.0291  best_loss_pixel: 0.0331  
epoch: 21  D_loss: 0.152493  G_loss: 4.035955  loss_pixel: 0.0376  best_loss_pixel: 0.0331  
epoch: 22  D_loss: 0.149708  G_loss: 3.721321  loss_pixel: 0.0345  best_loss_pixel: 0.0331  
epoch: 23  D_loss: 0.248758  G_loss: 3.426672  loss_pixel: 0.0311  best_loss_pixel: 0.0331  
epoch: 24  D_loss: 0.350370  G_loss: 3.692745  loss_pixel: 0.0349  best_loss_pixel: 0.0331  
epoch: 25  D_loss: 0.167446  G_loss: 3.726920  loss_pixel: 0.0345  best_loss_pixel: 0.0331  
epoch: 26  D_loss: 0.185848  G_loss: 4.111307  loss_pixel: 0.0383  best_loss_pixel: 0.0331  
epoch: 27  D_loss: 0.151654  G_loss: 3.949056  loss_pixel: 0.0339  best_loss_pixel: 0.0331  
epoch: 28  D_loss: 0.146505  G_loss: 3.766453  loss_pixel: 0.0340  best_loss_pixel: 0.0314  
epoch: 29  D_loss: 0.259421  G_loss: 4.750882  loss_pixel: 0.0379  best_loss_pixel: 0.0314  
epoch: 30  D_loss: 0.141265  G_loss: 3.801222  loss_pixel: 0.0347  best_loss_pixel: 0.0314  
epoch: 31  D_loss: 0.203141  G_loss: 3.336275  loss_pixel: 0.0311  best_loss_pixel: 0.0314  
epoch: 32  D_loss: 0.206966  G_loss: 3.779674  loss_pixel: 0.0326  best_loss_pixel: 0.0314  
epoch: 33  D_loss: 0.289892  G_loss: 3.176475  loss_pixel: 0.0304  best_loss_pixel: 0.0314  
epoch: 34  D_loss: 0.273821  G_loss: 3.234295  loss_pixel: 0.0277  best_loss_pixel: 0.0314  
epoch: 35  D_loss: 0.235428  G_loss: 3.729500  loss_pixel: 0.0354  best_loss_pixel: 0.0314  
epoch: 36  D_loss: 0.155105  G_loss: 3.468638  loss_pixel: 0.0310  best_loss_pixel: 0.0314  
epoch: 37  D_loss: 0.162291  G_loss: 3.675954  loss_pixel: 0.0342  best_loss_pixel: 0.0314  
epoch: 38  D_loss: 0.138371  G_loss: 3.852839  loss_pixel: 0.0332  best_loss_pixel: 0.0314  
epoch: 39  D_loss: 0.206533  G_loss: 3.699605  loss_pixel: 0.0346  best_loss_pixel: 0.0314  
epoch: 40  D_loss: 0.317512  G_loss: 3.650935  loss_pixel: 0.0318  best_loss_pixel: 0.0314  
epoch: 41  D_loss: 0.292279  G_loss: 3.563571  loss_pixel: 0.0300  best_loss_pixel: 0.0314  
epoch: 42  D_loss: 0.163489  G_loss: 3.502967  loss_pixel: 0.0310  best_loss_pixel: 0.0314  
epoch: 43  D_loss: 0.310879  G_loss: 3.737664  loss_pixel: 0.0306  best_loss_pixel: 0.0314  
epoch: 44  D_loss: 0.252294  G_loss: 3.297001  loss_pixel: 0.0309  best_loss_pixel: 0.0314  
epoch: 45  D_loss: 0.339051  G_loss: 3.262842  loss_pixel: 0.0308  best_loss_pixel: 0.0314  
epoch: 46  D_loss: 0.125759  G_loss: 3.843691  loss_pixel: 0.0337  best_loss_pixel: 0.0314  
epoch: 47  D_loss: 0.245163  G_loss: 3.455737  loss_pixel: 0.0331  best_loss_pixel: 0.0314  
epoch: 48  D_loss: 0.248912  G_loss: 3.298467  loss_pixel: 0.0291  best_loss_pixel: 0.0314  
epoch: 49  D_loss: 0.155597  G_loss: 3.788285  loss_pixel: 0.0338  best_loss_pixel: 0.0314  
epoch: 50  D_loss: 0.220919  G_loss: 3.600949  loss_pixel: 0.0325  best_loss_pixel: 0.0314  
epoch: 51  D_loss: 0.244409  G_loss: 3.333339  loss_pixel: 0.0316  best_loss_pixel: 0.0314  
epoch: 52  D_loss: 0.202595  G_loss: 3.609708  loss_pixel: 0.0326  best_loss_pixel: 0.0314  
epoch: 53  D_loss: 0.153268  G_loss: 3.580765  loss_pixel: 0.0313  best_loss_pixel: 0.0314  
epoch: 54  D_loss: 0.229760  G_loss: 3.343563  loss_pixel: 0.0316  best_loss_pixel: 0.0314  
epoch: 55  D_loss: 0.228743  G_loss: 3.420658  loss_pixel: 0.0292  best_loss_pixel: 0.0314  
epoch: 56  D_loss: 0.344583  G_loss: 3.384369  loss_pixel: 0.0315  best_loss_pixel: 0.0314  
epoch: 57  D_loss: 0.198878  G_loss: 3.957937  loss_pixel: 0.0356  best_loss_pixel: 0.0314  
